data,region,confirmed
2020-04-15,Dhaka,934
2020-04-16,Dhaka,1176
2020-04-17,Dhaka,1368
2020-04-18,Dhaka,1605
2020-04-19,Dhaka,1869
2020-04-20,Dhaka,2280
2020-04-21,Dhaka,2452
2020-04-22,Dhaka,2754
2020-04-23,Dhaka,3065
2020-04-24,Dhaka,3502
2020-04-25,Dhaka,3682
2020-04-26,Dhaka,4053
2020-04-27,Dhaka,4396
2020-04-28,Dhaka,4857
2020-04-29,Dhaka,5338
2020-04-30,Dhaka,5743
2020-05-01,Dhaka,6031
2020-05-02,Dhaka,6415
2020-05-03,Dhaka,6628
2020-05-04,Dhaka,6943
2020-05-05,Dhaka,7494
2020-05-06,Dhaka,8035
2020-05-07,Dhaka,8289
2020-05-08,Dhaka,8677
2020-05-09,Dhaka,8987
2020-05-10,Dhaka,9261
2020-05-11,Dhaka,9870
2020-05-12,Dhaka,9870
2020-05-13,Dhaka,9870
2020-05-14,Dhaka,11280
2020-05-15,Dhaka,11750
2020-05-16,Dhaka,12157
2020-05-17,Dhaka,12933
2020-05-18,Dhaka,12933
2020-05-19,Dhaka,14137
2020-05-20,Dhaka,14137
2020-05-21,Dhaka,14137
2020-05-22,Dhaka,14137
2020-05-23,Dhaka,14137
2020-05-24,Dhaka,14137
2020-05-25,Dhaka,18827
2020-05-26,Dhaka,19305
2020-05-27,Dhaka,19969
2020-05-28,Dhaka,20659
2020-05-29,Dhaka,21068
2020-05-30,Dhaka,21549
2020-05-31,Dhaka,23129
2020-06-01,Dhaka,23625
2020-06-02,Dhaka,25074
2020-06-03,Dhaka,26061
2020-06-04,Dhaka,26969
2020-06-05,Dhaka,27733
2020-06-06,Dhaka,28270
2020-06-07,Dhaka,29228
2020-06-08,Dhaka,29898
2020-06-09,Dhaka,29902
2020-06-10,Dhaka,31146
2020-06-11,Dhaka,32353
2020-06-12,Dhaka,32950
2020-06-13,Dhaka,33780
2020-06-14,Dhaka,33780
2020-06-15,Dhaka,34985
2020-06-16,Dhaka,34985
2020-06-17,Dhaka,34985
2020-06-18,Dhaka,34985
2020-06-19,Dhaka,41547
2020-04-15,Chittagong,62
2020-04-16,Chittagong,69
2020-04-17,Chittagong,91
2020-04-18,Chittagong,97
2020-04-19,Chittagong,105
2020-04-20,Chittagong,118
2020-04-21,Chittagong,125
2020-04-22,Chittagong,144
2020-04-23,Chittagong,149
2020-04-24,Chittagong,156
2020-04-25,Chittagong,170
2020-04-26,Chittagong,185
2020-04-27,Chittagong,201
2020-04-28,Chittagong,227
2020-04-29,Chittagong,270
2020-04-30,Chittagong,296
2020-05-01,Chittagong,334
2020-05-02,Chittagong,342
2020-05-03,Chittagong,353
2020-05-04,Chittagong,369
2020-05-05,Chittagong,394
2020-05-06,Chittagong,455
2020-05-07,Chittagong,513
2020-05-08,Chittagong,576
2020-05-09,Chittagong,669
2020-05-10,Chittagong,693
2020-05-11,Chittagong,783
2020-05-12,Chittagong,783
2020-05-13,Chittagong,783
2020-05-14,Chittagong,1201
2020-05-15,Chittagong,1333
2020-05-16,Chittagong,1474
2020-05-17,Chittagong,1644
2020-05-18,Chittagong,1644
2020-05-19,Chittagong,2065
2020-05-20,Chittagong,2065
2020-05-21,Chittagong,2065
2020-05-22,Chittagong,2065
2020-05-23,Chittagong,2065
2020-05-24,Chittagong,2065
2020-05-25,Chittagong,3655
2020-05-26,Chittagong,3918
2020-05-27,Chittagong,4057
2020-05-28,Chittagong,4477
2020-05-29,Chittagong,4731
2020-05-30,Chittagong,4923
2020-05-31,Chittagong,5390
2020-06-01,Chittagong,5650
2020-06-02,Chittagong,6144
2020-06-03,Chittagong,6480
2020-06-04,Chittagong,6768
2020-06-05,Chittagong,6829
2020-06-06,Chittagong,6998
2020-06-07,Chittagong,7202
2020-06-08,Chittagong,7277
2020-06-09,Chittagong,7277
2020-06-10,Chittagong,7854
2020-06-11,Chittagong,8251
2020-06-12,Chittagong,8541
2020-06-13,Chittagong,8822
2020-06-14,Chittagong,8822
2020-06-15,Chittagong,9777
2020-06-16,Chittagong,9777
2020-06-17,Chittagong,9777
2020-06-18,Chittagong,9777
2020-06-19,Chittagong,15109
2020-04-15,Rajshahi,4
2020-04-16,Rajshahi,3
2020-04-17,Rajshahi,8
2020-04-18,Rajshahi,8
2020-04-19,Rajshahi,9
2020-04-20,Rajshahi,12
2020-04-21,Rajshahi,21
2020-04-22,Rajshahi,25
2020-04-23,Rajshahi,31
2020-04-24,Rajshahi,32
2020-04-25,Rajshahi,34
2020-04-26,Rajshahi,42
2020-04-27,Rajshahi,45
2020-04-28,Rajshahi,63
2020-04-29,Rajshahi,101
2020-04-30,Rajshahi,109
2020-05-01,Rajshahi,111
2020-05-02,Rajshahi,112
2020-05-03,Rajshahi,113
2020-05-04,Rajshahi,115
2020-05-05,Rajshahi,125
2020-05-06,Rajshahi,128
2020-05-07,Rajshahi,140
2020-05-08,Rajshahi,153
2020-05-09,Rajshahi,155
2020-05-10,Rajshahi,162
2020-05-11,Rajshahi,162
2020-05-12,Rajshahi,162
2020-05-13,Rajshahi,162
