Date,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,O'Higgins,Maule,Biobío,Araucanía,Los Lagos,Aysén,Magallanes,Santiago Metropolitan,Los Ríos,Arica y Parinacota,Ñuble
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
2020-03-05,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
2020-03-06,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
2020-03-07,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0
2020-03-08,0,0,0,0,0,0,3,0,0,1,0,0,6,0,0,0
2020-03-09,0,0,0,0,0,0,4,1,0,1,0,0,7,0,0,0
2020-03-10,0,0,0,0,0,0,5,1,0,1,0,0,10,0,0,0
2020-03-11,0,0,0,0,0,0,7,1,0,1,0,0,14,0,0,0
2020-03-12,0,0,0,0,0,0,7,1,0,1,0,0,23,0,0,1
2020-03-13,0,0,0,0,0,0,8,3,0,1,0,0,29,0,0,2
2020-03-14,0,2,1,0,0,0,9,3,0,1,1,0,40,0,0,4
2020-03-15,0,2,1,0,0,0,9,3,0,1,1,0,54,0,0,4
2020-03-16,0,2,1,0,1,0,9,4,1,1,1,0,123,1,0,12
2020-03-17,0,2,1,0,1,0,9,4,1,1,1,2,152,1,0,26
2020-03-18,0,2,1,0,1,0,11,7,4,8,1,2,174,1,0,26
2020-03-19,0,2,1,2,4,2,14,14,7,16,1,2,247,1,1,28
2020-03-20,0,6,1,3,5,6,14,19,9,18,1,2,304,1,1,44
2020-03-21,0,10,1,3,13,7,15,30,15,20,1,3,359,1,1,58
2020-03-22,0,11,1,5,16,8,25,35,27,23,1,4,409,1,2,64
2020-03-23,1,11,1,6,19,8,28,46,40,33,1,6,459,4,2,81
2020-03-24,4,13,1,11,25,9,29,73,59,36,1,8,540,6,2,105
2020-03-25,4,19,1,12,32,11,30,95,74,44,1,13,682,11,2,111
2020-03-26,5,20,1,13,44,14,31,109,111,60,2,19,746,14,3,114
2020-03-27,5,21,1,14,49,16,32,135,143,63,2,22,938,22,3,144
2020-03-28,5,25,1,15,71,20,37,151,177,93,2,26,1084,27,3,172
2020-03-29,6,27,2,18,80,21,42,185,205,104,2,39,1167,40,4,197
2020-03-30,8,35,2,27,108,21,54,201,247,128,2,39,1295,47,6,229
2020-03-31,10,35,2,28,115,23,62,216,302,151,2,63,1420,58,6,245
2020-04-01,10,39,3,30,136,26,71,240,343,181,3,99,1521,64,6,259
2020-04-02,12,47,3,34,156,32,82,275,389,203,5,114,1636,68,7,341
2020-04-03,13,54,5,35,176,33,89,302,432,234,6,156,1742,78,12,370
2020-04-04,17,55,5,44,185,38,97,347,477,259,6,172,1957,89,12,401
2020-04-05,20,60,5,50,191,41,103,365,509,276,7,190,2102,99,28,425
2020-04-06,21,68,5,51,198,42,108,383,562,286,7,221,2244,104,41,474
2020-04-07,23,69,6,52,214,42,108,410,612,299,7,240,2350,109,53,522
2020-04-08,26,77,8,56,225,43,119,439,669,325,7,266,2548,114,63,561
2020-04-09,29,92,10,61,230,44,128,460,689,340,7,286,2832,118,75,571
2020-04-10,35,110,13,61,241,44,131,474,712,349,7,331,3193,124,87,589
2020-04-11,38,117,13,64,248,45,134,490,739,364,7,377,3448,130,107,606
2020-04-12,46,138,13,66,254,46,138,500,775,372,7,396,3599,135,115,613
2020-04-13,52,149,13,66,273,48,141,512,795,380,7,415,3803,138,115,618
2020-04-14,62,155,13,66,285,53,142,528,816,385,7,429,4086,148,120,622
2020-04-15,62,176,13,66,299,54,152,542,826,390,7,444,4334,150,124,634
2020-04-16,66,192,13,68,330,54,167,559,882,399,7,467,4682,153,129,639
2020-04-17,73,211,13,68,345,55,223,578,907,412,7,501,4915,154,134,656
2020-04-18,81,226,13,68,359,55,276,606,944,416,7,522,5192,156,142,667
2020-04-19,90,249,13,68,381,55,302,616,972,421,7,553,5381,157,145,678
2020-04-20,93,263,13,69,388,56,304,626,1045,424,7,566,5643,162,161,687
2020-04-21,104,291,13,69,403,57,316,636,1092,432,7,593,5788,167,170,694
2020-04-22,114,326,13,70,421,59,328,658,1113,445,7,605,6083,171,180,703
2020-04-23,128,340,18,70,429,76,333,675,1142,454,7,615,6434,173,210,708
2020-04-24,134,366,21,72,436,81,349,683,1184,460,7,624,6761,174,239,715
2020-04-25,143,391,24,73,454,85,350,696,1203,465,7,655,7165,177,245,725
2020-04-26,156,443,29,73,460,92,354,703,1216,473,7,668,7496,178,252,731
2020-04-27,164,457,35,74,485,94,363,706,1236,477,7,671,7858,180,265,741
2020-04-28,169,481,35,74,493,97,384,709,1251,477,7,693,8300,180,268,747
2020-04-29,183,514,42,76,526,104,392,719,1273,481,7,714,8639,182,272,761
2020-04-30,198,546,43,76,559,108,393,727,1293,487,7,725,9625,189,279,768
2020-05-01,200,589,43,77,568,109,394,729,1295,501,7,726,10516,189,297,768
2020-05-02,212,679,59,78,614,120,396,751,1314,513,7,752,11661,196,307,776
2020-05-03,272,740,67,88,638,125,397,759,1328,517,7,777,12656,198,308,786
2020-05-04,295,760,70,91,656,131,399,762,1331,524,7,795,13528,199,308,787
2020-05-05,322,811,78,97,687,136,408,774,1352,525,7,809,14707,199,315,789
2020-05-06,339,855,80,97,716,145,408,789,1362,541,7,818,15582,200,318,791
2020-05-07,417,895,87,100,781,151,414,814,1385,545,8,836,16828,202,325,793
2020-05-08,459,923,88,111,828,167,425,842,1403,548,8,867,17979,203,327,794
2020-05-09,485,947,117,129,878,182,432,882,1418,559,8,881,18957,206,337,801
2020-05-10,520,978,124,135,933,195,441,899,1454,575,8,893,20353,206,340,812
2020-05-11,547,1014,133,140,970,216,454,932,1466,592,8,901,21317,208,351,814
2020-05-12,578,1109,134,148,1029,224,466,942,1482,594,8,910,22709,211,351,826
2020-05-13,615,1216,139,153,1123,248,485,975,1495,628,8,921,24965,212,359,839
2020-05-14,682,1277,140,165,1213,295,519,995,1536,633,8,935,27216,214,363,849
2020-05-15,779,1331,143,180,1312,323,540,1036,1564,641,8,937,29276,219,368,885
