Alue;Aika;val
Ahvenanmaa;2020-01-01;
Varsinais-Suomen SHP;2020-01-01;
Satakunnan SHP;2020-01-01;
Kanta-Hämeen SHP;2020-01-01;
Pirkanmaan SHP;2020-01-01;
Päijät-Hämeen SHP;2020-01-01;
Kymenlaakson SHP;2020-01-01;
Etelä-Karjalan SHP;2020-01-01;
Etelä-Savon SHP;2020-01-01;
Itä-Savon SHP;2020-01-01;
Pohjois-Karjalan SHP;2020-01-01;
Pohjois-Savon SHP;2020-01-01;
Keski-Suomen SHP;2020-01-01;
Etelä-Pohjanmaan SHP;2020-01-01;
Vaasan SHP;2020-01-01;
Keski-Pohjanmaan SHP;2020-01-01;
Pohjois-Pohjanmaan SHP;2020-01-01;
Kainuun SHP;2020-01-01;
Länsi-Pohjan SHP;2020-01-01;
Lapin SHP;2020-01-01;
Helsingin ja Uudenmaan SHP;2020-01-01;
Kaikki Alueet;2020-01-01;
Ahvenanmaa;2020-01-02;
Varsinais-Suomen SHP;2020-01-02;
Satakunnan SHP;2020-01-02;
Kanta-Hämeen SHP;2020-01-02;
Pirkanmaan SHP;2020-01-02;
Päijät-Hämeen SHP;2020-01-02;
Kymenlaakson SHP;2020-01-02;
Etelä-Karjalan SHP;2020-01-02;
Etelä-Savon SHP;2020-01-02;
Itä-Savon SHP;2020-01-02;
Pohjois-Karjalan SHP;2020-01-02;
Pohjois-Savon SHP;2020-01-02;
Keski-Suomen SHP;2020-01-02;
Etelä-Pohjanmaan SHP;2020-01-02;
Vaasan SHP;2020-01-02;
Keski-Pohjanmaan SHP;2020-01-02;
Pohjois-Pohjanmaan SHP;2020-01-02;
Kainuun SHP;2020-01-02;
Länsi-Pohjan SHP;2020-01-02;
Lapin SHP;2020-01-02;
Helsingin ja Uudenmaan SHP;2020-01-02;
Kaikki Alueet;2020-01-02;
Ahvenanmaa;2020-01-03;
Varsinais-Suomen SHP;2020-01-03;
Satakunnan SHP;2020-01-03;
Kanta-Hämeen SHP;2020-01-03;
Pirkanmaan SHP;2020-01-03;
Päijät-Hämeen SHP;2020-01-03;
Kymenlaakson SHP;2020-01-03;
Etelä-Karjalan SHP;2020-01-03;
Etelä-Savon SHP;2020-01-03;
Itä-Savon SHP;2020-01-03;
Pohjois-Karjalan SHP;2020-01-03;
Pohjois-Savon SHP;2020-01-03;
Keski-Suomen SHP;2020-01-03;
Etelä-Pohjanmaan SHP;2020-01-03;
Vaasan SHP;2020-01-03;
Keski-Pohjanmaan SHP;2020-01-03;
Pohjois-Pohjanmaan SHP;2020-01-03;
Kainuun SHP;2020-01-03;
Länsi-Pohjan SHP;2020-01-03;
Lapin SHP;2020-01-03;
Helsingin ja Uudenmaan SHP;2020-01-03;
Kaikki Alueet;2020-01-03;
