"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-03-08","1","0","0"
"2","2020-03-18","1","0","0"
"3","2020-03-27","1","0","0"
"4","2020-03-28","0","1","1"
"5","2020-03-30","1","0","0"
"6","2020-04-02","1","0","0"
"7","2020-04-03","1","1","1"
"8","2020-04-04","4","5","0"
"9","2020-04-05","1","4","8"
"10","2020-04-06","2","0","1"
"11","2020-04-08","6","8","8"
"12","2020-04-09","2","2","0"
"13","2020-04-10","1","1","1"
"14","2020-04-11","2","2","4"
"15","2020-04-14","2","2","0"
"16","2020-04-15","2","2","3"
"17","2020-04-16","0","0","1"
"18","2020-04-18","3","3","0"
"19","2020-04-19","0","0","3"
"20","2020-04-21","1","1","1"
"21","2020-04-23","1","1","0"
"22","2020-04-24","5","5","0"
"23","2020-04-25","0","0","6"
"24","2020-04-26","2","2","0"
"25","2020-04-27","0","0","2"
"26","2020-04-28","1","1","1"
"27","2020-05-01","0","1","1"
"28","2020-05-02","1","1","0"
"29","2020-05-04","0","0","1"
"30","2020-05-05","2","1","0"
"31","2020-05-06","4","4","3"
"32","2020-05-07","1","0","2"
"33","2020-05-08","7","5","0"
"34","2020-05-09","1","2","6"
"35","2020-05-10","2","1","0"
"36","2020-05-11","1","0","1"
"37","2020-05-12","2","2","0"
"38","2020-05-13","3","4","5"
"39","2020-05-14","2","4","2"
"40","2020-05-15","29","31","31"
"41","2020-05-16","2","4","4"
"42","2020-05-17","3","4","0"
"43","2020-05-18","6","8","3"
"44","2020-05-19","9","8","11"
"45","2020-05-20","8","11","6"
"46","2020-05-21","9","10","2"
"47","2020-05-22","8","8","5"
"48","2020-05-23","6","8","10"
"49","2020-05-24","1","3","5"
"50","2020-05-25","14","14","3"
"51","2020-05-26","14","15","4"
"52","2020-05-27","9","9","12"
"53","2020-05-28","6","15","6"
"54","2020-05-29","8","10","7"
"55","2020-05-30","5","9","6"
"56","2020-05-31","2","0","10"
"57","2020-06-01","1","2","8"
"58","2020-06-02","7","9","1"
"59","2020-06-03","1","7","12"
"60","2020-06-04","1","4","4"
"61","2020-06-05","6","7","5"
"62","2020-06-06","7","6","3"
"63","2020-06-07","7","5","4"
"64","2020-06-08","10","9","7"
"65","2020-06-09","10","5","2"
"66","2020-06-10","1","4","5"
"67","2020-06-11","13","11","2"
"68","2020-06-12","6","6","13"
"69","2020-06-13","6","5","0"
"70","2020-06-14","10","5","2"
"71","2020-06-15","10","10","10"
"72","2020-06-16","8","14","8"
"73","2020-06-17","7","15","8"
"74","2020-06-18","6","15","5"
"75","2020-06-19","5","26","5"
"76","2020-06-20","15","9","2"
"77","2020-06-21","5","14","5"
"78","2020-06-22","12","11","8"
"79","2020-06-23","24","24","8"
"80","2020-06-24","9","10","4"
"81","2020-06-25","15","20","5"
"82","2020-06-26","13","24","1"
"83","2020-06-27","15","12","7"
"84","2020-06-28","10","6","1"
"85","2020-06-29","4","17","7"
"86","2020-06-30","10","23","7"
"87","2020-07-01","10","24","7"
"88","2020-07-02","5","14","10"
"89","2020-07-03","11","25","6"
"90","2020-07-04","20","10","12"
"91","2020-07-05","12","3","13"
"92","2020-07-06","21","17","3"
"93","2020-07-07","13","21","2"
"94","2020-07-08","10","35","7"
"95","2020-07-09","16","36","9"
"96","2020-07-10","10","7","4"
"97","2020-07-11","9","7","19"
"98","2020-07-12","10","5","4"
"99","2020-07-13","15","15","13"
"100","2020-07-14","3","11","22"
"101","2020-07-15","8","23","11"
"102","2020-07-16","11","17","14"
"103","2020-07-17","13","16","22"
"104","2020-07-18","10","9","10"
"105","2020-07-19","11","7","9"
"106","2020-07-20","9","10","22"
"107","2020-07-21","6","18","5"
"108","2020-07-22","12","15","11"
"109","2020-07-23","3","11","26"
"110","2020-07-24","7","7","17"
"111","2020-07-25","10","11","10"
"112","2020-07-26","8","4","8"
"113","2020-07-27","11","8","13"
"114","2020-07-28","10","20","7"
"115","2020-07-29","12","11","20"
"116","2020-07-30","11","13","36"
"117","2020-07-31","18","36","18"
"118","2020-08-01","10","17","7"
"119","2020-08-02","10","25","4"
"120","2020-08-03","5","20","39"
"121","2020-08-04","3","15","27"
"122","2020-08-05","6","19","24"
"123","2020-08-06","10","13","41"
"124","2020-08-07","6","7","19"
"125","2020-08-08","4","9","4"
"126","2020-08-09","5","5","13"
"127","2020-08-10","7","11","11"
"128","2020-08-11","4","13","35"
"129","2020-08-12","13","4","42"
"130","2020-08-13","8","15","25"
"131","2020-08-14","13","6","18"
"132","2020-08-15","5","12","6"
"133","2020-08-16","8","7","13"
"134","2020-08-17","11","24","20"
"135","2020-08-18","4","20","57"
"136","2020-08-19","3","11","21"
"137","2020-08-20","5","13","49"
"138","2020-08-21","6","17","28"
"139","2020-08-22","7","10","24"
"140","2020-08-23","3","4","11"
"141","2020-08-24","3","9","11"
"142","2020-08-25","2","10","23"
"143","2020-08-26","3","10","20"
"144","2020-08-27","0","8","36"
"145","2020-08-28","1","3","11"
"146","SIN DATOS","415","4","0"
"147","Total","1375","1375","1375"
