"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-04-14","2","2","0"
"2","2020-04-15","0","0","2"
"3","2020-04-21","0","2","2"
"4","2020-04-25","1","0","0"
"5","2020-05-03","2","0","0"
"6","2020-05-04","2","0","0"
"7","2020-05-06","0","3","0"
"8","2020-05-07","0","0","3"
"9","2020-05-08","1","1","0"
"10","2020-05-09","3","4","1"
"11","2020-05-10","0","0","4"
"12","2020-05-14","1","0","0"
"13","2020-05-20","2","3","1"
"14","2020-05-21","1","1","2"
"15","2020-05-22","1","1","1"
"16","2020-05-23","3","2","0"
"17","2020-05-24","1","0","0"
"18","2020-05-25","0","0","1"
"19","2020-05-26","3","0","0"
"20","2020-05-27","1","1","0"
"21","2020-05-28","3","5","3"
"22","2020-05-29","7","11","0"
"23","2020-05-30","0","0","1"
"24","2020-06-02","1","2","0"
"25","2020-06-03","7","5","1"
"26","2020-06-04","2","1","5"
"27","2020-06-05","5","8","1"
"28","2020-06-06","2","2","5"
"29","2020-06-07","2","2","3"
"30","2020-06-08","1","3","0"
"31","2020-06-09","3","6","2"
"32","2020-06-10","1","2","5"
"33","2020-06-11","2","2","0"
"34","2020-06-12","2","0","0"
"35","2020-06-13","2","1","0"
"36","2020-06-14","0","2","1"
"37","2020-06-15","2","2","2"
"38","2020-06-16","4","0","4"
"39","2020-06-17","5","0","0"
"40","2020-06-18","7","0","1"
"41","2020-06-19","5","7","4"
"42","2020-06-20","1","5","2"
"43","2020-06-21","1","2","0"
"44","2020-06-22","4","6","8"
"45","2020-06-23","6","5","4"
"46","2020-06-24","1","7","8"
"47","2020-06-25","16","3","8"
"48","2020-06-26","7","5","5"
"49","2020-06-27","7","6","5"
"50","2020-06-28","9","3","2"
"51","2020-06-29","15","4","4"
"52","2020-06-30","9","19","13"
"53","2020-07-01","11","15","10"
"54","2020-07-02","8","26","12"
"55","2020-07-03","14","14","12"
"56","2020-07-04","10","4","6"
"57","2020-07-05","18","6","6"
"58","2020-07-06","10","8","7"
"59","2020-07-07","12","17","16"
"60","2020-07-08","7","14","14"
"61","2020-07-09","11","8","11"
"62","2020-07-10","21","9","9"
"63","2020-07-11","11","16","16"
"64","2020-07-12","11","9","9"
"65","2020-07-13","18","22","18"
"66","2020-07-14","10","12","19"
"67","2020-07-15","9","27","26"
"68","2020-07-16","6","24","18"
"69","2020-07-17","9","18","26"
"70","2020-07-18","2","9","7"
"71","2020-07-19","9","9","8"
"72","2020-07-20","3","14","10"
"73","2020-07-21","2","2","5"
"74","2020-07-22","7","16","12"
"75","2020-07-23","5","2","5"
"76","2020-07-24","18","3","8"
"77","2020-07-25","10","13","17"
"78","2020-07-26","12","6","3"
"79","2020-07-27","7","6","11"
"80","2020-07-28","7","17","8"
"81","2020-07-29","6","5","19"
"82","2020-07-30","12","16","11"
"83","2020-07-31","2","15","22"
"84","2020-08-01","12","12","11"
"85","2020-08-02","4","1","0"
"86","2020-08-03","9","20","19"
"87","2020-08-04","4","10","16"
"88","2020-08-05","2","8","9"
"89","2020-08-06","2","21","33"
"90","2020-08-07","3","5","24"
"91","2020-08-08","0","5","10"
"92","2020-08-09","0","1","3"
"93","SIN DATOS","123","9","0"
"94","Total","620","620","620"
