"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-04-09","1","1","0"
"2","2020-04-10","0","0","1"
"3","2020-04-13","3","0","0"
"4","2020-04-14","1","1","0"
"5","2020-04-15","0","2","1"
"6","2020-04-16","4","5","2"
"7","2020-04-17","2","2","4"
"8","2020-04-19","0","0","3"
"9","2020-04-20","6","5","0"
"10","2020-04-21","4","4","9"
"11","2020-04-22","3","2","0"
"12","2020-04-23","7","7","9"
"13","2020-04-24","3","2","0"
"14","2020-04-25","5","6","2"
"15","2020-04-26","0","0","6"
"16","2020-04-27","5","6","1"
"17","2020-04-28","4","3","5"
"18","2020-04-29","5","5","8"
"19","2020-04-30","1","2","0"
"20","2020-05-01","0","0","2"
"21","2020-05-02","0","1","0"
"22","2020-05-03","1","1","0"
"23","2020-05-04","0","0","1"
"24","2020-05-05","7","6","0"
"25","2020-05-06","1","0","0"
"26","2020-05-07","0","0","6"
"27","2020-05-08","0","1","0"
"28","2020-05-09","0","0","1"
"29","2020-05-10","1","0","0"
"30","2020-05-11","2","0","0"
"31","2020-05-12","5","5","0"
"32","2020-05-13","11","13","0"
"33","2020-05-14","1","0","5"
"34","2020-05-15","1","1","13"
"35","2020-05-16","2","0","0"
"36","2020-05-17","2","1","0"
"37","2020-05-18","2","1","1"
"38","2020-05-19","2","4","2"
"39","2020-05-20","2","2","0"
"40","2020-05-21","1","1","3"
"41","2020-05-22","14","16","0"
"42","2020-05-23","0","0","1"
"43","2020-05-24","1","2","4"
"44","2020-05-25","12","12","2"
"45","2020-05-26","12","14","11"
"46","2020-05-27","29","30","8"
"47","2020-05-28","14","16","18"
"48","2020-05-29","24","26","2"
"49","2020-05-30","0","4","3"
"50","2020-05-31","2","0","1"
"51","2020-06-01","7","5","4"
"52","2020-06-02","2","3","8"
"53","2020-06-03","16","18","2"
"54","2020-06-04","9","8","0"
"55","2020-06-05","7","6","1"
"56","2020-06-06","3","2","0"
"57","2020-06-07","3","1","14"
"58","2020-06-08","16","20","35"
"59","2020-06-09","9","13","8"
"60","2020-06-10","10","11","1"
"61","2020-06-11","1","1","2"
"62","2020-06-12","3","0","4"
"63","2020-06-13","6","1","3"
"64","2020-06-14","4","1","5"
"65","2020-06-15","24","31","7"
"66","2020-06-16","3","6","2"
"67","2020-06-17","13","20","1"
"68","2020-06-18","9","12","19"
"69","2020-06-19","6","10","1"
"70","2020-06-20","3","1","1"
"71","2020-06-21","0","0","7"
"72","2020-06-22","6","7","1"
"73","2020-06-23","9","8","3"
"74","2020-06-24","7","30","0"
"75","2020-06-25","3","5","2"
"76","2020-06-26","1","31","1"
"77","2020-06-27","0","4","5"
"78","2020-06-28","0","2","2"
"79","2020-06-29","0","12","23"
"80","2020-06-30","2","28","5"
"81","2020-07-01","2","18","6"
"82","2020-07-02","4","45","14"
"83","2020-07-03","2","34","15"
"84","2020-07-04","1","0","8"
"85","2020-07-05","0","2","12"
"86","2020-07-06","2","6","5"
"87","2020-07-07","0","30","1"
"88","2020-07-08","1","1","12"
"89","2020-07-09","0","6","1"
"90","2020-07-10","3","2","10"
"91","2020-07-11","1","3","10"
"92","2020-07-12","2","1","0"
"93","2020-07-13","2","3","42"
"94","2020-07-14","1","6","3"
"95","2020-07-15","0","3","6"
"96","2020-07-16","3","4","2"
"97","2020-07-17","5","1","31"
"98","2020-07-18","2","4","16"
"99","2020-07-19","3","2","2"
"100","2020-07-20","6","3","13"
"101","2020-07-21","4","5","8"
"102","2020-07-22","8","3","8"
"103","2020-07-23","4","8","34"
"104","2020-07-24","3","10","20"
"105","2020-07-25","4","2","8"
"106","2020-07-26","7","2","2"
"107","2020-07-27","2","10","36"
"108","2020-07-28","1","12","16"
"109","2020-07-29","4","4","39"
"110","2020-07-30","4","7","52"
"111","2020-07-31","0","3","30"
"112","2020-08-01","1","3","3"
"113","2020-08-02","2","1","2"
"114","2020-08-03","0","4","7"
"115","2020-08-04","3","8","12"
"116","SIN DATOS","316","25","0"
"117","Total","788","788","788"
