"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-03-27","1","1","1"
"2","2020-04-01","1","0","0"
"3","2020-04-07","1","0","0"
"4","2020-04-08","1","1","1"
"5","2020-04-10","2","2","0"
"6","2020-04-11","0","0","2"
"7","2020-04-12","1","2","1"
"8","2020-04-13","2","1","1"
"9","2020-04-14","4","3","1"
"10","2020-04-15","2","1","4"
"11","2020-04-16","0","3","3"
"12","2020-04-20","1","1","1"
"13","2020-04-21","3","3","2"
"14","2020-04-23","2","1","1"
"15","2020-04-24","0","1","0"
"16","2020-04-25","0","0","1"
"17","2020-04-27","1","1","1"
"18","2020-04-28","1","0","0"
"19","2020-04-29","0","0","1"
"20","2020-04-30","1","1","1"
"21","2020-05-01","1","0","0"
"22","2020-05-04","2","1","0"
"23","2020-05-05","2","2","2"
"24","2020-05-06","2","2","1"
"25","2020-05-07","0","0","2"
"26","2020-05-08","1","1","0"
"27","2020-05-11","1","2","1"
"28","2020-05-12","1","0","0"
"29","2020-05-13","2","0","1"
"30","2020-05-14","3","3","1"
"31","2020-05-15","2","1","3"
"32","2020-05-16","0","1","1"
"33","2020-05-17","5","1","0"
"34","2020-05-18","8","7","2"
"35","2020-05-19","3","4","2"
"36","2020-05-20","9","6","3"
"37","2020-05-21","17","19","6"
"38","2020-05-22","9","9","8"
"39","2020-05-23","5","2","3"
"40","2020-05-24","1","4","6"
"41","2020-05-25","19","17","7"
"42","2020-05-26","11","13","2"
"43","2020-05-27","15","17","24"
"44","2020-05-28","15","12","10"
"45","2020-05-29","17","16","2"
"46","2020-05-30","8","9","12"
"47","2020-05-31","6","2","12"
"48","2020-06-01","21","18","9"
"49","2020-06-02","18","20","11"
"50","2020-06-03","16","19","4"
"51","2020-06-04","44","47","12"
"52","2020-06-05","30","26","11"
"53","2020-06-06","12","11","14"
"54","2020-06-07","15","18","11"
"55","2020-06-08","45","29","13"
"56","2020-06-09","49","37","8"
"57","2020-06-10","49","23","6"
"58","2020-06-11","50","50","2"
"59","2020-06-12","42","60","52"
"60","2020-06-13","38","22","5"
"61","2020-06-14","43","18","7"
"62","2020-06-15","38","62","13"
"63","2020-06-16","51","75","28"
"64","2020-06-17","31","58","22"
"65","2020-06-18","49","35","57"
"66","2020-06-19","40","59","63"
"67","2020-06-20","46","41","4"
"68","2020-06-21","28","18","52"
"69","2020-06-22","69","84","65"
"70","2020-06-23","39","78","71"
"71","2020-06-24","59","88","21"
"72","2020-06-25","46","65","98"
"73","2020-06-26","34","48","80"
"74","2020-06-27","31","47","22"
"75","2020-06-28","44","42","36"
"76","2020-06-29","107","107","114"
"77","2020-06-30","121","155","82"
"78","2020-07-01","65","112","132"
"79","2020-07-02","81","81","121"
"80","2020-07-03","70","100","150"
"81","2020-07-04","26","50","28"
"82","2020-07-05","32","27","41"
"83","2020-07-06","84","94","58"
"84","2020-07-07","86","87","35"
"85","2020-07-08","58","65","101"
"86","2020-07-09","16","77","113"
"87","2020-07-10","46","51","92"
"88","2020-07-11","31","36","65"
"89","2020-07-12","23","21","15"
"90","2020-07-13","49","61","127"
"91","2020-07-14","48","60","74"
"92","2020-07-15","41","59","44"
"93","2020-07-16","39","61","44"
"94","2020-07-17","27","46","56"
"95","2020-07-18","27","24","37"
"96","2020-07-19","13","13","8"
"97","2020-07-20","49","52","96"
"98","2020-07-21","8","31","47"
"99","2020-07-22","26","30","42"
"100","2020-07-23","31","37","62"
"101","2020-07-24","14","29","55"
"102","2020-07-25","9","9","16"
"103","2020-07-26","5","7","10"
"104","2020-07-27","14","25","60"
"105","2020-07-28","14","26","39"
"106","2020-07-29","11","23","58"
"107","2020-07-30","14","15","41"
"108","2020-07-31","8","15","52"
"109","2020-08-01","4","8","6"
"110","2020-08-02","0","1","7"
"111","2020-08-03","0","3","24"
"112","SIN DATOS","519","13","0"
"113","Total","3082","3082","3082"
