"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-03-25","0","0","2"
"2","2020-04-13","2","2","0"
"3","2020-04-14","1","1","0"
"4","2020-04-15","0","0","1"
"5","2020-04-21","2","2","1"
"6","2020-04-22","0","0","1"
"7","2020-04-29","3","3","3"
"8","2020-05-04","1","2","1"
"9","2020-05-06","0","0","1"
"10","2020-05-08","1","1","0"
"11","2020-05-09","0","0","1"
"12","2020-05-14","1","1","0"
"13","2020-05-15","0","1","1"
"14","2020-05-16","0","0","1"
"15","2020-05-20","0","1","1"
"16","2020-05-21","7","6","0"
"17","2020-05-23","0","0","5"
"18","2020-05-24","0","1","2"
"19","2020-05-25","1","1","0"
"20","2020-05-27","1","1","0"
"21","2020-05-30","1","2","1"
"22","2020-05-31","1","1","0"
"23","2020-06-01","1","1","2"
"24","2020-06-03","1","1","0"
"25","2020-06-05","2","2","0"
"26","2020-06-06","1","0","0"
"27","2020-06-07","4","0","0"
"28","2020-06-08","0","1","0"
"29","2020-06-09","1","1","1"
"30","2020-06-10","2","1","0"
"31","2020-06-11","0","6","2"
"32","2020-06-12","2","2","0"
"33","2020-06-13","1","0","0"
"34","2020-06-14","0","3","3"
"35","2020-06-15","4","3","2"
"36","2020-06-16","2","6","0"
"37","2020-06-17","0","3","2"
"38","2020-06-18","0","0","4"
"39","2020-06-19","0","1","0"
"40","2020-06-21","2","1","2"
"41","2020-06-22","4","2","0"
"42","2020-06-23","2","1","1"
"43","2020-06-24","0","1","0"
"44","2020-06-25","3","2","3"
"45","2020-06-26","0","4","0"
"46","2020-06-27","1","0","0"
"47","2020-06-28","1","1","0"
"48","2020-06-29","4","5","2"
"49","2020-06-30","0","2","2"
"50","2020-07-01","0","1","1"
"51","2020-07-02","8","8","5"
"52","2020-07-03","0","4","7"
"53","2020-07-04","2","0","4"
"54","2020-07-05","1","0","2"
"55","2020-07-06","1","2","1"
"56","2020-07-07","1","1","0"
"57","2020-07-08","1","2","3"
"58","2020-07-09","1","0","1"
"59","2020-07-10","0","1","1"
"60","2020-07-11","1","2","4"
"61","2020-07-12","0","0","1"
"62","2020-07-14","4","3","2"
"63","2020-07-15","1","2","5"
"64","2020-07-16","4","1","1"
"65","2020-07-17","2","5","4"
"66","2020-07-18","2","0","0"
"67","2020-07-19","1","0","0"
"68","2020-07-20","9","7","9"
"69","2020-07-21","5","8","4"
"70","2020-07-22","4","7","6"
"71","2020-07-23","5","6","8"
"72","2020-07-24","1","2","5"
"73","2020-07-25","1","1","4"
"74","2020-07-26","3","2","3"
"75","2020-07-27","3","4","6"
"76","2020-07-28","2","7","6"
"77","2020-07-29","1","1","6"
"78","2020-07-30","1","2","4"
"79","2020-07-31","1","1","1"
"80","2020-08-03","2","3","2"
"81","2020-08-04","0","0","5"
"82","2020-08-05","1","1","1"
"83","SIN DATOS","31","0","0"
"84","Total","160","160","160"
