"","fecha","Casos por fecha de inicio de s<c3><ad>ntomas","Casos por fecha de toma de muestra","Casos por fecha de emisi<c3><b3>n de resultados"
"1","2020-04-05","0","0","0"
"2","2020-04-06","0","1","0"
"3","2020-04-07","0","0","0"
"4","2020-04-08","0","1","0"
"5","2020-04-09","0","0","0"
"6","2020-04-14","0","1","0"
"7","2020-04-15","0","0","0"
"8","2020-04-24","0","1","0"
"9","2020-04-29","0","1","0"
"10","2020-05-04","0","1","0"
"11","2020-05-05","0","0","0"
"12","2020-05-06","0","3","0"
"13","2020-05-08","0","1","0"
"14","2020-05-09","0","0","0"
"15","2020-05-11","0","2","0"
"16","2020-05-13","0","2","0"
"17","2020-05-15","0","0","0"
"18","2020-05-16","0","2","0"
"19","2020-05-17","0","1","0"
"20","2020-05-18","0","2","0"
"21","2020-05-20","0","0","0"
"22","2020-05-22","0","1","0"
"23","2020-05-23","0","1","0"
"24","2020-05-24","0","0","0"
"25","2020-05-25","0","2","0"
"26","2020-05-27","0","0","0"
"27","2020-05-29","0","4","0"
"28","2020-05-30","0","1","0"
"29","2020-05-31","0","0","0"
"30","2020-06-01","0","18","0"
"31","2020-06-02","0","1","0"
"32","2020-06-03","0","4","0"
"33","2020-06-04","0","1","0"
"34","2020-06-05","0","26","0"
"35","2020-06-06","0","2","0"
"36","2020-06-07","0","9","0"
"37","2020-06-08","0","6","0"
"38","2020-06-09","0","9","0"
"39","2020-06-10","0","10","0"
"40","2020-06-11","0","9","0"
"41","2020-06-12","0","2","0"
"42","2020-06-13","0","9","0"
"43","2020-06-14","0","3","0"
"44","2020-06-15","0","6","0"
"45","2020-06-16","0","2","0"
"46","2020-06-17","0","4","0"
"47","2020-06-18","0","6","0"
"48","2020-06-19","0","2","0"
"49","2020-06-20","0","3","0"
"50","2020-06-21","0","2","0"
"51","2020-06-22","0","4","0"
"52","2020-06-23","0","1","0"
"53","2020-06-24","0","9","0"
"54","2020-06-25","0","5","0"
"55","2020-06-26","0","2","0"
"56","2020-06-27","0","1","0"
"57","2020-06-28","0","1","0"
"58","2020-06-29","0","13","0"
"59","2020-06-30","0","1","0"
"60","2020-07-01","0","3","0"
"61","2020-07-02","0","23","0"
"62","2020-07-03","0","8","0"
"63","2020-07-04","0","5","0"
"64","2020-07-05","0","2","0"
"65","2020-07-06","0","10","0"
"66","2020-07-07","0","7","0"
"67","2020-07-08","0","7","0"
"68","2020-07-09","0","3","0"
"69","2020-07-10","0","2","0"
"70","2020-07-11","0","6","0"
"71","2020-07-12","0","3","0"
"72","2020-07-13","0","12","0"
"73","2020-07-14","0","9","0"
"74","2020-07-15","0","9","0"
"75","2020-07-16","0","8","0"
"76","2020-07-17","0","10","0"
"77","2020-07-18","0","9","0"
