"","fecha","Casos por fecha de inicio de s<c3><ad>ntomas","Casos por fecha de toma de muestra","Casos por fecha de emisi<c3><b3>n de resultados"
"1","2020-03-18","0","1","0"
"2","2020-04-08","0","1","0"
"3","2020-04-14","0","9","0"
"4","2020-04-15","0","0","0"
"5","2020-04-16","0","1","0"
"6","2020-04-18","0","0","0"
"7","2020-04-20","0","0","0"
"8","2020-04-21","0","6","0"
"9","2020-04-22","0","0","0"
"10","2020-04-24","0","2","0"
"11","2020-04-25","0","0","0"
"12","2020-04-27","0","0","0"
"13","2020-04-28","0","0","0"
"14","2020-04-29","0","2","0"
"15","2020-04-30","0","1","0"
"16","2020-05-01","0","2","0"
"17","2020-05-02","0","0","0"
"18","2020-05-03","0","0","0"
"19","2020-05-04","0","2","0"
"20","2020-05-05","0","6","0"
"21","2020-05-06","0","0","0"
"22","2020-05-07","0","5","0"
"23","2020-05-08","0","6","0"
"24","2020-05-09","0","9","0"
"25","2020-05-10","0","4","0"
"26","2020-05-11","0","5","0"
"27","2020-05-12","0","11","0"
"28","2020-05-13","0","12","0"
"29","2020-05-14","0","9","0"
"30","2020-05-15","0","5","0"
"31","2020-05-16","0","6","0"
"32","2020-05-17","0","13","0"
"33","2020-05-18","0","11","0"
"34","2020-05-19","0","10","0"
"35","2020-05-20","0","11","0"
"36","2020-05-21","0","31","0"
"37","2020-05-22","0","49","0"
"38","2020-05-23","0","6","0"
"39","2020-05-24","0","46","0"
"40","2020-05-25","0","29","0"
"41","2020-05-26","0","63","0"
"42","2020-05-27","0","12","0"
"43","2020-05-28","0","40","0"
"44","2020-05-29","0","28","0"
"45","2020-05-30","0","16","0"
"46","2020-05-31","0","4","0"
"47","2020-06-01","0","18","0"
"48","2020-06-02","0","26","0"
"49","2020-06-03","0","49","0"
"50","2020-06-04","0","10","0"
"51","2020-06-05","0","36","0"
"52","2020-06-06","0","20","0"
"53","2020-06-07","0","9","0"
"54","2020-06-08","0","20","0"
"55","2020-06-09","0","37","0"
"56","2020-06-10","0","48","0"
"57","2020-06-11","0","17","0"
"58","2020-06-12","0","22","0"
"59","2020-06-13","0","47","0"
"60","2020-06-14","0","5","0"
"61","2020-06-15","0","34","0"
"62","2020-06-16","0","11","0"
"63","2020-06-17","0","27","0"
"64","2020-06-18","0","7","0"
"65","2020-06-19","0","15","0"
"66","2020-06-20","0","19","0"
"67","2020-06-21","0","5","0"
"68","2020-06-22","0","47","0"
"69","2020-06-23","0","10","0"
"70","2020-06-24","0","28","0"
"71","2020-06-25","0","37","0"
"72","2020-06-26","0","33","0"
"73","2020-06-27","0","5","0"
"74","2020-06-28","0","2","0"
"75","2020-06-29","0","25","0"
"76","2020-06-30","0","48","0"
"77","2020-07-01","0","25","0"
"78","2020-07-02","0","18","0"
"79","2020-07-03","0","20","0"
"80","2020-07-04","0","14","0"
"81","2020-07-05","0","6","0"
"82","2020-07-06","0","11","0"
"83","2020-07-07","0","22","0"
"84","2020-07-08","0","32","0"
"85","2020-07-09","0","34","0"
"86","2020-07-10","0","15","0"
"87","2020-07-11","0","3","0"
"88","2020-07-12","0","10","0"
"89","2020-07-13","0","11","0"
"90","2020-07-14","0","58","0"
"91","2020-07-15","0","60","0"
"92","2020-07-16","0","37","0"
"93","2020-07-17","0","19","0"
"94","2020-07-18","0","12","0"
"95","2020-07-19","0","6","0"
"96","2020-07-20","0","22","0"
"97","2020-07-21","0","24","0"
"98","2020-07-22","0","15","0"
"99","2020-07-23","0","14","0"
"100","2020-07-24","0","16","0"
"101","2020-07-25","0","24","0"
"102","2020-07-26","0","13","0"
"103","2020-07-27","0","31","0"
"104","2020-07-28","0","21","0"
"105","2020-07-29","0","22","0"
"106","2020-07-30","0","23","0"
"107","2020-07-31","0","19","0"
"108","2020-08-01","0","25","0"
"109","2020-08-02","0","16","0"
"110","2020-08-03","0","32","0"
"111","2020-08-04","0","48","0"
"112","2020-08-05","0","38","0"
"113","2020-08-06","0","27","0"
"114","2020-08-07","0","26","0"
"115","2020-08-08","0","17","0"
"116","2020-08-09","0","4","0"
"117","2020-08-10","0","19","0"
"118","2020-08-11","0","10","0"
"119","2020-08-12","0","20","0"
"120","2020-08-13","0","29","0"
"121","2020-08-14","0","28","0"
"122","2020-08-15","0","9","0"
"123","2020-08-16","0","12","0"
"124","2020-08-17","0","42","0"
"125","2020-08-18","0","27","0"
"126","2020-08-19","0","22","0"
"127","2020-08-20","0","30","0"
"128","2020-08-21","0","30","0"
"129","2020-08-22","0","26","0"
"130","2020-08-23","0","14","0"
"131","2020-08-24","0","45","0"
"132","2020-08-25","0","24","0"
"133","2020-08-26","0","23","0"
"134","2020-08-27","0","24","0"
"135","2020-08-28","0","36","0"
"136","2020-08-29","0","23","0"
"137","2020-08-30","0","9","0"
"138","2020-08-31","0","34","0"
"139","2020-09-01","0","16","0"
"140","2020-09-02","0","23","0"
"141","2020-09-03","0","17","0"
"142","2020-09-04","0","36","0"
"143","2020-09-05","0","21","0"
"144","2020-09-06","0","11","0"
"145","2020-09-07","0","37","0"
"146","2020-09-08","0","27","0"
"147","2020-09-09","0","32","0"
"148","2020-09-10","0","32","0"
"149","2020-09-11","0","47","0"
"150","2020-09-12","0","32","0"
"151","2020-09-13","0","10","0"
"152","2020-09-14","0","51","0"
"153","2020-09-15","0","34","0"
"154","2020-09-16","0","43","0"
"155","2020-09-17","0","70","0"
"156","2020-09-18","0","64","0"
"157","2020-09-19","0","23","0"
"158","2020-09-20","0","10","0"
"159","2020-09-21","0","49","0"
"160","2020-09-22","0","56","0"
"161","2020-09-23","0","66","0"
"162","2020-09-24","0","50","0"
"163","2020-09-25","0","47","0"
"164","2020-09-26","0","29","0"
"165","2020-09-27","0","16","0"
"166","2020-09-28","0","71","0"
"167","2020-09-29","0","71","0"
"168","2020-09-30","0","45","0"
"169","2020-10-01","0","42","0"
"170","2020-10-02","0","43","0"
"171","2020-10-03","0","22","0"
"172","2020-10-04","0","10","0"
"173","2020-10-05","0","40","0"
"174","2020-10-06","0","58","0"
"175","2020-10-07","0","38","0"
"176","2020-10-08","0","63","0"
"177","2020-10-09","0","67","0"
"178","2020-10-10","0","22","0"
"179","2020-10-11","0","7","0"
"180","2020-10-12","0","63","0"
"181","2020-10-13","0","43","0"
"182","2020-10-14","0","50","0"
"183","2020-10-15","0","36","0"
"184","2020-10-16","0","34","0"
"185","2020-10-17","0","21","0"
"186","2020-10-18","0","14","0"
"187","2020-10-19","0","36","0"
"188","2020-10-20","0","28","0"
"189","2020-10-21","0","38","0"
"190","2020-10-22","0","23","0"
"191","2020-10-23","0","14","0"
"192","2020-10-24","0","4","0"
"193","2020-10-25","0","4","0"
"194","2020-10-26","0","27","0"
"195","2020-10-27","0","25","0"
"196","2020-10-28","0","20","0"
"197","2020-10-29","0","12","0"
"198","2020-10-30","0","35","0"
"199","2020-10-31","0","12","0"
"200","2020-11-01","0","7","0"
"201","2020-11-02","0","23","0"
"202","2020-11-03","0","54","0"
"203","2020-11-04","0","14","0"
"204","2020-11-05","0","28","0"
"205","2020-11-06","0","32","0"
"206","2020-11-07","0","12","0"
"207","2020-11-08","0","24","0"
"208","2020-11-09","0","40","0"
"209","2020-11-10","0","26","0"
"210","2020-11-11","0","22","0"
"211","2020-11-12","0","27","0"
"212","2020-11-13","0","29","0"
"213","2020-11-14","0","19","0"
"214","2020-11-15","0","10","0"
"215","2020-11-16","0","31","0"
"216","2020-11-17","0","27","0"
"217","2020-11-18","0","21","0"
"218","2020-11-19","0","26","0"
"219","2020-11-20","0","26","0"
"220","2020-11-21","0","12","0"
"221","2020-11-22","0","8","0"
"222","2020-11-23","0","29","0"
"223","2020-11-24","0","10","0"
"224","2020-11-25","0","28","0"
"225","2020-11-26","0","13","0"
"226","2020-11-27","0","26","0"
"227","2020-11-28","0","12","0"
"228","2020-11-29","0","9","0"
"229","2020-11-30","0","18","0"
"230","2020-12-01","0","18","0"
"231","2020-12-02","0","13","0"
"232","2020-12-03","0","24","0"
"233","2020-12-04","0","20","0"
"234","2020-12-05","0","4","0"
"235","2020-12-06","0","6","0"
"236","2020-12-07","0","26","0"
"237","2020-12-08","0","14","0"
"238","2020-12-09","0","12","0"
"239","2020-12-10","0","23","0"
"240","2020-12-11","0","15","0"
"241","2020-12-12","0","4","0"
"242","2020-12-13","0","7","0"
"243","2020-12-14","0","17","0"
"244","2020-12-15","0","17","0"
"245","2020-12-16","0","18","0"
"246","2020-12-17","0","13","0"
"247","2020-12-18","0","23","0"
"248","2020-12-19","0","3","0"
"249","2020-12-20","0","3","0"
"250","2020-12-21","0","14","0"
"251","2020-12-22","0","18","0"
"252","2020-12-23","0","17","0"
"253","2020-12-24","0","5","0"
"254","2020-12-25","0","3","0"
"255","2020-12-26","0","7","0"
"256","2020-12-27","0","4","0"
"257","2020-12-28","0","26","0"
"258","2020-12-29","0","22","0"
"259","2020-12-30","0","37","0"
"260","2020-12-31","0","18","0"
"261","2021-01-01","0","3","0"
"262","2021-01-02","0","5","0"
"263","2021-01-03","0","18","0"
"264","2021-01-04","0","21","0"
"265","2021-01-05","0","24","0"
"266","2021-01-06","0","26","0"
"267","2021-01-07","0","19","0"
"268","2021-01-08","0","19","0"
"269","2021-01-09","0","12","0"
"270","2021-01-10","0","12","0"
"271","2021-01-11","0","35","0"
"272","2021-01-12","0","33","0"
"273","2021-01-13","0","10","0"
"274","2021-01-14","0","13","0"
"275","2021-01-15","0","28","0"
"276","2021-01-16","0","7","0"
"277","2021-01-17","0","5","0"
"278","2021-01-18","0","28","0"
"279","2021-01-19","0","13","0"
"280","2021-01-20","0","20","0"
"281","2021-01-21","0","15","0"
"282","2021-01-22","0","14","0"
"283","2021-01-23","0","8","0"
"284","2021-01-24","0","8","0"
"285","2021-01-25","0","22","0"
"286","2021-01-26","0","14","0"
"287","2021-01-27","0","8","0"
"288","2021-01-28","0","26","0"
"289","2021-01-29","0","19","0"
"290","2021-01-30","0","3","0"
"291","2021-01-31","0","6","0"
"292","2021-02-01","0","13","0"
"293","2021-02-02","0","23","0"
"294","2021-02-03","0","19","0"
"295","2021-02-04","0","12","0"
"296","2021-02-05","0","10","0"
"297","2021-02-06","0","4","0"
"298","2021-02-07","0","5","0"
"299","2021-02-08","0","18","0"
"300","2021-02-09","0","9","0"
"301","2021-02-10","0","12","0"
"302","2021-02-11","0","19","0"
"303","2021-02-12","0","15","0"
"304","2021-02-13","0","5","0"
"305","2021-02-14","0","2","0"
"306","2021-02-15","0","9","0"
"307","2021-02-16","0","16","0"
"308","2021-02-17","0","23","0"
"309","2021-02-18","0","23","0"
"310","2021-02-19","0","23","0"
"311","2021-02-20","0","8","0"
"312","2021-02-21","0","6","0"
"313","2021-02-22","0","25","0"
"314","2021-02-23","0","20","0"
"315","2021-02-24","0","14","0"
"316","2021-02-25","0","23","0"
"317","2021-02-26","0","14","0"
"318","2021-02-27","0","14","0"
"319","2021-02-28","0","12","0"
"320","2021-03-01","0","26","0"
"321","2021-03-02","0","14","0"
"322","2021-03-03","0","27","0"
"323","2021-03-04","0","42","0"
"324","2021-03-05","0","34","0"
"325","2021-03-06","0","11","0"
"326","2021-03-07","0","9","0"
"327","2021-03-08","0","37","0"
"328","2021-03-09","0","26","0"
"329","2021-03-10","0","35","0"
"330","2021-03-11","0","53","0"
"331","2021-03-12","0","52","0"
"332","2021-03-13","0","10","0"
"333","2021-03-14","0","16","0"
"334","2021-03-15","0","74","0"
"335","2021-03-16","0","46","0"
"336","2021-03-17","0","50","0"
"337","2021-03-18","0","41","0"
"338","2021-03-19","0","46","0"
"339","2021-03-20","0","18","0"
"340","2021-03-21","0","12","0"
"341","2021-03-22","0","68","0"
"342","2021-03-23","0","55","0"
"343","2021-03-24","0","65","0"
"344","2021-03-25","0","71","0"
"345","2021-03-26","0","69","0"
"346","2021-03-27","0","15","0"
"347","2021-03-28","0","15","0"
"348","2021-03-29","0","45","0"
"349","2021-03-30","0","44","0"
"350","2021-03-31","0","24","0"
"351","2021-04-01","0","18","0"
"352","2021-04-02","0","8","0"
"353","2021-04-03","0","19","0"
"354","2021-04-04","0","21","0"
"355","2021-04-05","0","79","0"
"356","2021-04-06","0","81","0"
"357","2021-04-07","0","84","0"
"358","2021-04-08","0","53","0"
"359","2021-04-09","0","94","0"
"360","2021-04-10","0","36","0"
"361","2021-04-11","0","13","0"
"362","2021-04-12","0","88","0"
"363","2021-04-13","0","73","0"
"364","2021-04-14","0","84","0"
"365","2021-04-15","0","88","0"
"366","2021-04-16","0","98","0"
"367","2021-04-17","0","20","0"
"368","2021-04-18","0","23","0"
"369","2021-04-19","0","98","0"
"370","2021-04-20","0","83","0"
"371","2021-04-21","0","86","0"
"372","2021-04-22","0","53","0"
"373","2021-04-23","0","70","0"
"374","2021-04-24","0","22","0"
"375","2021-04-25","0","13","0"
"376","2021-04-26","0","64","0"
"377","2021-04-27","0","46","0"
"378","2021-04-28","0","60","0"
"379","2021-04-29","0","47","0"
"380","2021-04-30","0","35","0"
"381","2021-05-01","0","18","0"
"382","2021-05-02","0","16","0"
"383","2021-05-03","0","71","0"
"384","2021-05-04","0","54","0"
"385","2021-05-05","0","52","0"
"386","2021-05-06","0","36","0"
"387","2021-05-07","0","48","0"
"388","2021-05-08","0","14","0"
"389","2021-05-09","0","8","0"
"390","2021-05-10","0","28","0"
"391","2021-05-11","0","78","0"
"392","2021-05-12","0","46","0"
"393","2021-05-13","0","41","0"
"394","2021-05-14","0","58","0"
"395","2021-05-15","0","11","0"
"396","2021-05-16","0","13","0"
"397","2021-05-17","0","62","0"
"398","2021-05-18","0","63","0"
"399","2021-05-19","0","47","0"
"400","2021-05-20","0","61","0"
"401","2021-05-21","0","38","0"
"402","2021-05-22","0","15","0"
"403","2021-05-23","0","18","0"
"404","2021-05-24","0","56","0"
"405","2021-05-25","0","59","0"
"406","2021-05-26","0","59","0"
"407","2021-05-27","0","54","0"
"408","2021-05-28","0","52","0"
"409","2021-05-29","0","34","0"
"410","2021-05-30","0","16","0"
"411","2021-05-31","0","73","0"
"412","2021-06-01","0","67","0"
"413","2021-06-02","0","48","0"
"414","2021-06-03","0","60","0"
"415","2021-06-04","0","66","0"
"416","2021-06-05","0","29","0"
"417","2021-06-06","0","8","0"
"418","2021-06-07","0","63","0"
"419","2021-06-08","0","64","0"
"420","2021-06-09","0","71","0"
"421","2021-06-10","0","64","0"
"422","2021-06-11","0","64","0"
"423","2021-06-12","0","29","0"
"424","2021-06-13","0","20","0"
"425","2021-06-14","0","52","0"
"426","2021-06-15","0","56","0"
"427","2021-06-16","0","49","0"
"428","2021-06-17","0","52","0"
"429","2021-06-18","0","52","0"
"430","2021-06-19","0","27","0"
"431","2021-06-20","0","12","0"
"432","2021-06-21","0","71","0"
"433","2021-06-22","0","61","0"
"434","2021-06-23","0","72","0"
"435","2021-06-24","0","44","0"
"436","2021-06-25","0","84","0"
"437","2021-06-26","0","25","0"
"438","2021-06-27","0","22","0"
"439","2021-06-28","0","53","0"
"440","2021-06-29","0","75","0"
"441","2021-06-30","0","78","0"
"442","2021-07-01","0","49","0"
"443","2021-07-02","0","56","0"
"444","2021-07-03","0","22","0"
"445","2021-07-04","0","24","0"
"446","2021-07-05","0","58","0"
"447","2021-07-06","0","68","0"
"448","2021-07-07","0","68","0"
"449","2021-07-08","0","62","0"
"450","2021-07-09","0","79","0"
"451","2021-07-10","0","31","0"
"452","2021-07-11","0","29","0"
"453","2021-07-12","0","93","0"
"454","2021-07-13","0","91","0"
"455","2021-07-14","0","89","0"
"456","2021-07-15","0","100","0"
"457","2021-07-16","0","83","0"
"458","2021-07-17","0","37","0"
"459","2021-07-18","0","36","0"
"460","2021-07-19","0","106","0"
"461","2021-07-20","0","88","0"
"462","2021-07-21","0","95","0"
"463","2021-07-22","0","88","0"
"464","2021-07-23","0","125","0"
"465","2021-07-24","0","41","0"
"466","2021-07-25","0","30","0"
"467","2021-07-26","0","124","0"
"468","2021-07-27","0","114","0"
"469","2021-07-28","0","94","0"
"470","2021-07-29","0","116","0"
"471","2021-07-30","0","135","0"
"472","2021-07-31","0","48","0"
"473","2021-08-01","0","32","0"
"474","2021-08-02","0","118","0"
"475","2021-08-03","0","136","0"
"476","2021-08-04","0","131","0"
"477","2021-08-05","0","132","0"
"478","2021-08-06","0","126","0"
"479","2021-08-07","0","52","0"
"480","2021-08-08","0","37","0"
"481","2021-08-09","0","124","0"
"482","2021-08-10","0","187","0"
"483","2021-08-11","0","165","0"
"484","2021-08-12","0","175","0"
"485","2021-08-13","0","162","0"
"486","2021-08-14","0","69","0"
"487","2021-08-15","0","58","0"
"488","2021-08-16","0","160","0"
"489","2021-08-17","0","122","0"
"490","2021-08-18","0","148","0"
"491","2021-08-19","0","113","0"
"492","2021-08-20","0","116","0"
"493","2021-08-21","0","53","0"
"494","2021-08-22","0","34","0"
"495","2021-08-23","0","63","0"
"496","2021-08-24","0","36","0"
"497","SIN DATOS","17461","281","17461"
"498","Total","17461","17461","17461"
