"","fecha","Fallecidos por fecha"
"1","2020-04-10","1"
"2","2020-04-18","1"
"3","2020-05-07","1"
"4","2020-05-25","1"
"5","2020-05-29","1"
"6","2020-05-31","1"
"7","2020-06-01","2"
"8","2020-06-02","1"
"9","2020-06-04","1"
"10","2020-06-07","1"
"11","2020-06-08","2"
"12","2020-06-09","1"
"13","2020-06-10","1"
"14","2020-06-12","1"
"15","2020-06-13","1"
"16","2020-06-15","2"
"17","2020-06-17","4"
"18","2020-06-18","1"
"19","2020-06-19","1"
"20","2020-06-20","1"
"21","2020-06-21","3"
"22","2020-06-22","3"
"23","2020-06-23","2"
"24","2020-06-24","1"
"25","2020-06-26","3"
"26","2020-06-27","4"
"27","2020-06-28","4"
"28","2020-06-29","3"
"29","2020-06-30","1"
"30","2020-07-01","4"
"31","2020-07-02","9"
"32","2020-07-03","5"
"33","2020-07-04","7"
"34","2020-07-05","2"
"35","2020-07-06","9"
"36","2020-07-07","1"
"37","2020-07-08","4"
"38","2020-07-09","4"
"39","2020-07-10","5"
"40","2020-07-11","4"
"41","2020-07-12","5"
"42","2020-07-13","2"
"43","2020-07-14","5"
"44","2020-07-15","2"
"45","2020-07-16","3"
"46","2020-07-17","4"
"47","2020-07-18","6"
"48","2020-07-19","3"
"49","2020-07-20","6"
"50","2020-07-21","3"
"51","2020-07-22","3"
"52","2020-07-24","3"
"53","2020-07-25","2"
"54","2020-07-26","3"
"55","2020-07-28","5"
"56","2020-07-30","2"
"57","Total","161"
