"","fecha","Fallecidos por fecha"
"1","2020-05-10","5"
"2","2020-05-11","1"
"3","2020-05-29","1"
"4","2020-06-08","1"
"5","2020-06-09","1"
"6","2020-06-13","1"
"7","2020-06-27","1"
"8","2020-07-01","2"
"9","2020-07-02","2"
"10","2020-07-03","2"
"11","2020-07-04","1"
"12","2020-07-06","1"
"13","2020-07-07","3"
"14","2020-07-08","5"
"15","2020-07-09","1"
"16","2020-07-11","2"
"17","2020-07-13","2"
"18","2020-07-14","1"
"19","2020-07-16","2"
"20","2020-07-17","1"
"21","2020-07-18","1"
"22","2020-07-19","3"
"23","2020-07-21","1"
"24","2020-07-22","2"
"25","2020-07-23","5"
"26","2020-07-24","2"
"27","2020-07-26","1"
"28","2020-07-27","3"
"29","2020-07-28","4"
"30","2020-07-29","1"
"31","2020-07-30","1"
"32","2020-07-31","1"
"33","2020-08-01","5"
"34","2020-08-02","4"
"35","2020-08-03","1"
"36","2020-08-04","6"
"37","2020-08-05","3"
"38","2020-08-06","3"
"39","2020-08-07","5"
"40","2020-08-08","2"
"41","2020-08-09","1"
"42","2020-08-10","1"
"43","2020-08-11","2"
"44","2020-08-12","1"
"45","2020-08-13","1"
"46","2020-08-14","3"
"47","2020-08-16","2"
"48","2020-08-17","4"
"49","2020-08-18","2"
"50","2020-08-19","4"
"51","2020-08-20","4"
"52","2020-08-21","4"
"53","2020-08-22","2"
"54","2020-08-23","1"
"55","2020-08-24","3"
"56","2020-08-27","1"
"57","2020-08-28","4"
"58","2020-08-29","2"
"59","2020-08-30","3"
"60","2020-09-01","3"
"61","2020-09-02","3"
"62","2020-09-03","2"
"63","2020-09-04","3"
"64","2020-09-05","1"
"65","2020-09-06","1"
"66","2020-09-08","2"
"67","2020-09-09","1"
"68","2020-09-10","2"
"69","2020-09-12","1"
"70","2020-09-13","2"
"71","2020-09-15","3"
"72","2020-09-16","3"
"73","2020-09-17","1"
"74","2020-09-18","1"
"75","2020-09-19","1"
"76","2020-09-22","2"
"77","2020-09-23","1"
"78","2020-09-25","1"
"79","2020-09-26","1"
"80","2020-09-27","1"
"81","2020-09-29","1"
"82","2020-10-02","1"
"83","2020-10-04","1"
"84","2020-10-06","2"
"85","2020-10-07","1"
"86","2020-10-09","1"
"87","2020-10-10","1"
"88","2020-10-13","1"
"89","2020-10-14","1"
"90","2020-10-16","1"
"91","2020-10-19","1"
"92","2020-10-21","1"
"93","2020-10-23","1"
"94","2020-10-27","2"
"95","2020-10-30","2"
"96","2020-11-16","1"
"97","2020-11-19","1"
"98","2020-11-20","1"
"99","2020-11-25","1"
"100","2020-11-27","1"
"101","2020-12-01","1"
"102","2020-12-03","2"
"103","2020-12-06","1"
"104","2020-12-07","2"
"105","2020-12-18","1"
"106","2020-12-19","1"
"107","2020-12-20","1"
"108","2021-01-01","1"
"109","2021-01-04","1"
"110","2021-01-06","1"
"111","2021-01-08","1"
"112","2021-01-11","3"
"113","2021-01-15","2"
"114","2021-01-17","1"
"115","2021-01-18","1"
"116","2021-01-20","1"
"117","2021-01-29","1"
"118","2021-02-06","1"
"119","2021-02-10","2"
"120","2021-03-02","1"
"121","2021-03-07","1"
"122","2021-03-09","1"
"123","2021-03-11","1"
"124","2021-03-13","1"
"125","2021-03-14","1"
"126","2021-03-16","1"
"127","2021-03-19","1"
"128","2021-03-22","1"
"129","2021-03-27","1"
"130","2021-04-02","1"
"131","2021-04-03","1"
"132","2021-04-04","1"
"133","2021-04-05","3"
"134","2021-04-08","2"
"135","2021-04-10","1"
"136","2021-04-11","1"
"137","2021-04-12","1"
"138","2021-04-13","1"
"139","2021-04-16","2"
"140","2021-04-17","2"
"141","2021-04-18","1"
"142","2021-04-21","1"
"143","2021-04-22","3"
"144","2021-04-24","2"
"145","2021-04-25","3"
"146","2021-04-26","2"
"147","2021-04-27","1"
"148","2021-04-28","1"
"149","2021-04-29","1"
"150","2021-04-30","2"
"151","2021-05-01","1"
"152","2021-05-02","1"
"153","2021-05-04","2"
"154","2021-05-06","1"
"155","2021-05-07","1"
"156","2021-05-09","1"
"157","2021-05-10","2"
"158","2021-05-14","1"
"159","2021-05-17","2"
"160","2021-05-18","1"
"161","2021-05-21","1"
"162","2021-05-23","1"
"163","2021-05-25","2"
"164","2021-05-26","2"
"165","2021-05-27","1"
"166","2021-05-29","1"
"167","2021-06-01","1"
"168","2021-06-03","1"
"169","2021-06-09","1"
"170","2021-06-10","2"
"171","2021-06-13","1"
"172","2021-06-14","1"
"173","2021-06-15","1"
"174","2021-06-19","1"
"175","2021-06-20","1"
"176","2021-06-21","1"
"177","2021-06-22","2"
"178","2021-06-23","2"
"179","2021-06-26","1"
"180","2021-06-28","2"
"181","2021-06-30","3"
"182","2021-07-02","2"
"183","2021-07-04","1"
"184","2021-07-06","1"
"185","2021-07-07","1"
"186","2021-07-08","2"
"187","2021-07-09","2"
"188","2021-07-11","1"
"189","2021-07-12","2"
"190","2021-07-14","2"
"191","2021-07-15","2"
"192","2021-07-18","1"
"193","2021-07-19","1"
"194","2021-07-20","1"
"195","2021-07-21","2"
"196","2021-07-23","1"
"197","2021-07-24","1"
"198","2021-07-25","1"
"199","2021-07-26","2"
"200","2021-07-28","2"
"201","2021-07-29","1"
"202","2021-07-30","1"
"203","2021-07-31","1"
"204","2021-08-02","1"
"205","2021-08-03","3"
"206","2021-08-04","2"
"207","2021-08-06","1"
"208","2021-08-07","3"
"209","2021-08-08","3"
"210","2021-08-09","1"
"211","2021-08-10","1"
"212","2021-08-11","1"
"213","2021-08-12","2"
"214","2021-08-13","2"
"215","2021-08-14","1"
"216","2021-08-15","1"
"217","2021-08-16","1"
"218","2021-08-17","2"
"219","2021-08-18","1"
"220","2021-08-19","2"
"221","2021-08-20","1"
"222","2021-08-21","2"
"223","2021-08-23","4"
"224","2021-08-24","2"
"225","2021-08-25","1"
"226","2021-08-27","1"
"227","2021-08-28","1"
"228","2021-08-29","1"
"229","2021-08-30","2"
"230","2021-08-31","1"
"231","2021-09-01","5"
"232","2021-09-03","1"
"233","2021-09-04","2"
"234","2021-09-05","2"
"235","2021-09-06","3"
"236","2021-09-07","2"
"237","2021-09-08","3"
"238","2021-09-09","1"
"239","2021-09-10","3"
"240","2021-09-12","2"
"241","2021-09-13","4"
"242","2021-09-14","3"
"243","2021-09-15","2"
"244","2021-09-16","1"
"245","2021-09-17","4"
"246","2021-09-18","3"
"247","2021-09-19","4"
"248","2021-09-20","1"
"249","2021-09-21","1"
"250","2021-09-23","1"
"251","2021-09-24","1"
"252","2021-09-25","1"
"253","2021-09-26","1"
"254","2021-09-27","2"
"255","2021-09-29","1"
"256","2021-10-03","2"
"257","2021-10-04","2"
"258","2021-10-05","1"
"259","2021-10-06","3"
"260","2021-10-07","1"
"261","2021-10-09","1"
"262","2021-10-10","1"
"263","2021-10-11","1"
"264","2021-10-12","1"
"265","2021-10-16","1"
"266","2021-10-18","1"
"267","2021-10-22","1"
"268","2021-10-26","1"
"269","2021-11-05","1"
"270","Total","451"
