"","fecha","Fallecidos por fecha"
"1","2020-06-19","1"
"2","2020-06-30","1"
"3","2020-07-08","1"
"4","2020-07-09","1"
"5","2020-07-12","1"
"6","2020-07-20","1"
"7","2020-08-05","1"
"8","2020-08-07","1"
"9","2020-08-10","1"
"10","2020-08-17","1"
"11","2020-08-19","2"
"12","2020-08-25","1"
"13","2020-08-26","1"
"14","2020-08-28","1"
"15","2020-08-31","1"
"16","2020-09-05","1"
"17","2020-09-07","1"
"18","2020-09-12","1"
"19","2020-09-17","2"
"20","2020-09-24","1"
"21","2020-09-29","1"
"22","2020-10-02","1"
"23","2020-10-03","2"
"24","2020-10-16","1"
"25","2020-10-17","1"
"26","2020-10-23","1"
"27","2020-11-08","1"
"28","2020-11-22","1"
"29","2020-12-09","1"
"30","2021-01-07","1"
"31","2021-01-12","1"
"32","2021-01-18","1"
"33","2021-01-21","1"
"34","2021-01-24","1"
"35","2021-02-04","1"
"36","2021-02-11","1"
"37","2021-02-22","1"
"38","2021-03-01","1"
"39","2021-03-03","1"
"40","2021-03-05","1"
"41","2021-03-10","1"
"42","2021-03-12","1"
"43","2021-03-19","1"
"44","2021-03-25","1"
"45","2021-04-09","1"
"46","2021-04-11","1"
"47","2021-04-12","2"
"48","2021-04-17","1"
"49","2021-04-18","1"
"50","2021-04-20","1"
"51","2021-04-22","1"
"52","2021-04-26","1"
"53","2021-04-27","1"
"54","2021-04-29","1"
"55","2021-05-02","1"
"56","2021-05-03","1"
"57","2021-05-04","2"
"58","2021-05-05","2"
"59","2021-05-06","2"
"60","2021-05-07","1"
"61","2021-05-08","1"
"62","2021-05-09","1"
"63","2021-05-12","1"
"64","2021-05-13","1"
"65","2021-05-17","1"
"66","2021-05-22","1"
"67","2021-05-24","1"
"68","2021-05-31","1"
"69","2021-06-12","1"
"70","2021-06-15","1"
"71","2021-06-17","1"
"72","2021-06-25","2"
"73","2021-06-28","1"
"74","2021-07-20","1"
"75","2021-07-23","1"
"76","2021-07-24","1"
"77","2021-07-27","1"
"78","2021-07-28","1"
"79","2021-07-29","1"
"80","2021-07-31","1"
"81","2021-08-06","1"
"82","2021-08-08","1"
"83","2021-08-09","1"
"84","2021-08-11","2"
"85","2021-08-13","1"
"86","2021-08-14","1"
"87","2021-08-16","1"
"88","2021-08-18","1"
"89","2021-08-21","3"
"90","2021-08-22","3"
"91","2021-08-24","1"
"92","2021-08-25","1"
"93","2021-08-26","1"
"94","2021-08-27","2"
"95","2021-08-28","1"
"96","2021-08-29","3"
"97","2021-09-03","1"
"98","2021-09-07","1"
"99","2021-09-10","1"
"100","2021-09-13","1"
"101","Total","116"
