"","fecha","Fallecidos por fecha"
"1","2020-06-02","1"
"2","2020-06-03","2"
"3","2020-06-12","3"
"4","2020-06-25","1"
"5","2020-06-26","2"
"6","2020-06-30","1"
"7","2020-07-02","1"
"8","2020-07-04","2"
"9","2020-07-05","1"
"10","2020-07-08","1"
"11","2020-07-11","1"
"12","2020-07-13","1"
"13","2020-07-25","1"
"14","2020-07-26","1"
"15","2020-07-27","2"
"16","2020-08-02","2"
"17","2020-08-03","1"
"18","2020-08-04","1"
"19","2020-08-06","1"
"20","2020-08-15","1"
"21","2020-08-19","2"
"22","2020-08-24","1"
"23","2020-08-28","2"
"24","2020-09-01","1"
"25","2020-09-03","1"
"26","2020-09-06","1"
"27","2020-09-07","1"
"28","2020-09-08","1"
"29","2020-09-11","1"
"30","2020-09-13","1"
"31","2020-09-17","1"
"32","2020-09-27","1"
"33","2020-09-30","1"
"34","2020-10-01","2"
"35","2020-10-02","1"
"36","2020-10-04","1"
"37","2020-10-10","1"
"38","2020-10-11","2"
"39","2020-10-15","1"
"40","2020-10-18","1"
"41","2020-10-20","1"
"42","2020-10-21","1"
"43","2020-10-27","1"
"44","2020-11-01","1"
"45","2020-11-02","1"
"46","2020-11-03","3"
"47","2020-11-10","1"
"48","2020-11-19","1"
"49","2020-11-23","1"
"50","2020-12-03","1"
"51","2020-12-12","1"
"52","2021-01-16","1"
"53","2021-01-23","1"
"54","2021-01-24","1"
"55","Total","67"
