"","fecha","Fallecidos por fecha"
"1","2020-05-10","1"
"2","2020-05-16","1"
"3","2020-05-21","1"
"4","2020-05-27","1"
"5","2020-05-29","1"
"6","2020-06-02","2"
"7","2020-06-04","1"
"8","2020-06-05","3"
"9","2020-06-06","3"
"10","2020-06-11","2"
"11","2020-06-14","1"
"12","2020-06-16","2"
"13","2020-06-17","2"
"14","2020-06-18","3"
"15","2020-06-19","2"
"16","2020-06-20","1"
"17","2020-06-21","1"
"18","2020-06-23","5"
"19","2020-06-25","5"
"20","2020-06-26","1"
"21","2020-06-27","4"
"22","2020-06-28","3"
"23","2020-06-29","2"
"24","2020-06-30","2"
"25","2020-07-01","2"
"26","2020-07-02","1"
"27","2020-07-03","3"
"28","2020-07-05","3"
"29","2020-07-06","2"
"30","2020-07-07","8"
"31","2020-07-08","4"
"32","2020-07-09","2"
"33","2020-07-10","7"
"34","2020-07-11","2"
"35","2020-07-12","4"
"36","2020-07-13","2"
"37","2020-07-14","3"
"38","2020-07-15","2"
"39","2020-07-16","6"
"40","2020-07-17","2"
"41","2020-07-18","3"
"42","2020-07-19","7"
"43","2020-07-20","9"
"44","2020-07-21","3"
"45","2020-07-22","3"
"46","2020-07-23","2"
"47","2020-07-24","5"
"48","2020-07-25","4"
"49","2020-07-26","3"
"50","2020-07-27","4"
"51","2020-07-28","2"
"52","2020-07-29","11"
"53","2020-07-30","3"
"54","2020-07-31","2"
"55","2020-08-01","5"
"56","2020-08-02","6"
"57","2020-08-03","2"
"58","2020-08-04","4"
"59","2020-08-06","4"
"60","2020-08-07","6"
"61","2020-08-08","3"
"62","2020-08-09","1"
"63","2020-08-10","4"
"64","2020-08-11","6"
"65","2020-08-12","3"
"66","2020-08-13","2"
"67","2020-08-14","4"
"68","2020-08-15","2"
"69","2020-08-16","5"
"70","2020-08-17","6"
"71","2020-08-18","4"
"72","2020-08-20","2"
"73","2020-08-21","2"
"74","2020-08-22","6"
"75","2020-08-23","5"
"76","2020-08-24","2"
"77","2020-08-25","2"
"78","2020-08-26","5"
"79","2020-08-27","1"
"80","2020-08-28","6"
"81","2020-08-29","2"
"82","2020-08-30","6"
"83","2020-08-31","4"
"84","2020-09-02","1"
"85","2020-09-03","4"
"86","2020-09-04","1"
"87","2020-09-05","1"
"88","2020-09-06","1"
"89","2020-09-07","5"
"90","2020-09-08","4"
"91","2020-09-09","5"
"92","2020-09-10","1"
"93","2020-09-11","2"
"94","2020-09-12","3"
"95","2020-09-13","1"
"96","2020-09-14","4"
"97","2020-09-15","4"
"98","2020-09-16","3"
"99","2020-09-17","2"
"100","2020-09-18","6"
"101","2020-09-19","4"
"102","2020-09-20","2"
"103","2020-09-21","2"
"104","2020-09-22","1"
"105","2020-09-23","4"
"106","2020-09-24","4"
"107","2020-09-25","2"
"108","2020-09-26","3"
"109","2020-09-27","2"
"110","2020-09-29","1"
"111","2020-09-30","3"
"112","2020-10-01","2"
"113","2020-10-03","1"
"114","2020-10-05","1"
"115","2020-10-06","2"
"116","2020-10-07","2"
"117","2020-10-08","3"
"118","2020-10-09","1"
"119","2020-10-10","1"
"120","2020-10-12","2"
"121","2020-10-13","2"
"122","2020-10-19","3"
"123","2020-10-20","1"
"124","2020-10-21","1"
"125","2020-10-22","2"
"126","2020-10-24","1"
"127","2020-10-26","2"
"128","2020-10-27","1"
"129","2020-10-28","2"
"130","2020-10-30","2"
"131","2020-10-31","2"
"132","2020-11-01","1"
"133","2020-11-05","1"
"134","2020-11-06","1"
"135","2020-11-07","2"
"136","2020-11-09","1"
"137","2020-11-11","2"
"138","2020-11-13","1"
"139","2020-11-14","1"
"140","2020-11-16","1"
"141","2020-11-17","1"
"142","2020-11-19","1"
"143","2020-11-20","3"
"144","2020-11-22","2"
"145","2020-11-23","1"
"146","2020-11-24","3"
"147","2020-11-25","2"
"148","2020-11-26","1"
"149","2020-11-27","3"
