"","fecha","Fallecidos por fecha"
"1","2020-05-27","2"
"2","2020-05-28","1"
"3","2020-05-31","1"
"4","2020-06-01","1"
"5","2020-06-12","1"
"6","2020-06-15","1"
"7","2020-06-19","1"
"8","2020-06-28","1"
"9","2020-06-29","2"
"10","2020-07-01","2"
"11","2020-07-05","1"
"12","2020-07-08","1"
"13","2020-07-09","1"
"14","2020-07-10","1"
"15","2020-07-13","1"
"16","2020-07-15","1"
"17","2020-07-17","1"
"18","2020-07-19","1"
"19","2020-07-21","1"
"20","2020-07-23","1"
"21","2020-07-24","1"
"22","2020-07-26","2"
"23","2020-08-05","1"
"24","2020-08-20","1"
"25","2020-08-21","1"
"26","2020-08-28","1"
"27","2020-08-29","1"
"28","2020-08-31","1"
"29","2020-09-01","1"
"30","2020-09-09","1"
"31","2020-09-17","1"
"32","2020-10-10","1"
"33","2020-10-16","1"
"34","2020-10-18","1"
"35","2020-10-22","1"
"36","2020-10-28","1"
"37","2020-11-23","1"
"38","2020-11-29","1"
"39","2020-12-06","1"
"40","2020-12-26","1"
"41","2021-01-19","1"
"42","2021-01-27","1"
"43","2021-02-02","1"
"44","2021-02-03","1"
"45","Total","48"
