"","fecha","Fallecidos por fecha"
"1","2020-05-18","1"
"2","2020-05-26","1"
"3","2020-05-30","1"
"4","2020-06-01","2"
"5","2020-06-02","1"
"6","2020-06-08","1"
"7","2020-06-16","1"
"8","2020-06-18","1"
"9","2020-06-23","1"
"10","2020-06-27","1"
"11","2020-06-28","1"
"12","2020-07-02","1"
"13","2020-07-06","1"
"14","2020-07-12","1"
"15","2020-07-16","1"
"16","2020-07-17","1"
"17","2020-07-23","1"
"18","2020-08-04","1"
"19","2020-08-07","1"
"20","2020-08-10","1"
"21","2020-08-12","2"
"22","2020-08-16","2"
"23","2020-08-20","1"
"24","2020-09-12","1"
"25","2020-09-13","3"
"26","2020-09-15","1"
"27","2020-09-17","1"
"28","2020-09-25","1"
"29","2020-09-26","1"
"30","2020-09-27","1"
"31","Total","35"
