"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1984,109,1768,107,1,0,53764
"Aomori","青森県",35,0,34,1,0,0,2296
"Iwate","岩手県",23,0,23,0,0,0,3968
"Miyagi","宮城県",372,75,295,2,0,0,9840
"Akita","秋田県",53,2,51,0,0,0,2072
"Yamagata","山形県",78,2,76,1,1,1,5062
"Fukushima","福島県",228,38,188,2,2,0,18556
"Ibaraki","茨城県",630,30,583,17,5,0,12210
"Tochigi","栃木県",408,80,326,1,1,1,28406
"Gunma","群馬県",684,137,527,19,0,1,19242
"Saitama","埼玉県",4474,260,4114,100,8,0,133413
"Chiba","千葉県",3689,328,3293,68,6,0,76502
"Tokyo","東京都",24453,2210,21851,392,28,0,422165
"Kanagawa","神奈川県",6452,616,5700,136,30,0,142882
"Niigata","新潟県",165,20,145,0,1,0,14702
"Toyama","富山県",410,5,380,25,0,0,11616
"Ishikawa","石川県",761,57,658,46,0,0,11892
"Fukui","福井県",244,8,224,10,2,2,9529
"Yamanashi","山梨県",180,3,171,6,1,0,10396
"Nagano","長野県",303,9,299,1,0,6,18172
"Gifu","岐阜県",603,14,579,10,1,0,21299
"Shizuoka","静岡県",522,16,505,1,1,0,31929
"Aichi","愛知県",5131,392,4658,81,14,0,69800
"Mie","三重県",480,79,394,7,5,0,11959
"Shiga","滋賀県",481,20,453,8,0,0,11287
"Kyoto","京都府",1702,85,1592,25,1,0,40149
"Osaka","大阪府",10205,744,9257,195,28,9,172384
"Hyogo","兵庫県",2615,106,2452,57,8,0,53368
"Nara","奈良県",558,18,531,9,0,0,19513
"Wakayama","和歌山県",238,4,227,4,0,3,9083
"Tottori","鳥取県",36,13,23,0,0,0,5375
"Shimane","島根県",137,0,137,0,0,0,5320
"Okayama","岡山県",148,1,146,"-","-",1,7861
"Hiroshima","広島県",487,20,464,3,1,0,19769
"Yamaguchi","山口県",195,9,184,2,1,0,9065
"Tokushima","徳島県",147,22,113,9,0,3,6794
"Kagawa","香川県",93,9,82,2,0,0,10138
"Ehime","愛媛県",114,0,108,6,0,0,4002
"Kochi","高知県",137,1,132,4,0,0,3405
"Fukuoka","福岡県",5006,175,4740,91,12,0,46705
"Saga","佐賀県",244,2,244,0,0,2,5706
"Nagasaki","長崎県",236,3,230,3,0,0,17442
"Kumamoto","熊本県",571,12,551,8,0,0,16092
"Oita","大分県",158,4,152,2,0,0,15659
"Miyazaki","宮崎県",344,2,342,1,0,1,8497
"Kagoshima","鹿児島県",377,7,370,12,0,12,17910
"Okinawa","沖縄県",2376,157,2178,45,8,4,36832
