"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",167,62,98,7
"Aomori","青森県",4,4,0,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",2,1,1,0
"Akita","秋田県",1,0,1,0
"Yamagata","山形県",0,0,0,0
"Fukushima","福島県",2,2,0,0
"Ibaraki","茨城県",9,9,0,0
"Tochigi","栃木県",10,8,2,0
"Gunma","群馬県",14,13,0,1
"Saitama","埼玉県",60,46,13,1
"Chiba","千葉県",54,36,18,0
"Tokyo","東京都",227,194,28,5
"Kanagawa","神奈川県",82,60,18,4
"Niigata","新潟県",24,21,3,0
"Toyama","富山県",0,0,0,0
"Ishikawa","石川県",6,3,3,0
"Fukui","福井県",5,5,0,0
"Yamanashi","山梨県",4,2,2,0
"Nagano","長野県",4,2,2,0
"Gifu","岐阜県",14,13,1,0
"Shizuoka","静岡県",3,1,2,0
"Aichi","愛知県",147,93,36,19
"Mie","三重県",6,4,2,0
"Shiga","滋賀県",6,5,1,0
"Kyoto","京都府",29,21,8,0
"Osaka","大阪府",136,93,41,2
"Hyogo","兵庫県",87,77,5,6
"Nara","奈良県",5,2,3,0
"Wakayama","和歌山県",15,4,10,1
"Tottori","鳥取県",0,0,0,0
"Shimane","島根県",0,0,0,0
"Okayama","岡山県",1,1,0,0
"Hiroshima","広島県",4,3,1,0
"Yamaguchi","山口県",4,4,0,0
"Tokushima","徳島県",0,0,0,0
"Kagawa","香川県",1,1,0,0
"Ehime","愛媛県",2,1,1,0
"Kochi","高知県",11,0,11,0
"Fukuoka","福岡県",11,9,2,0
"Saga","佐賀県",1,1,0,0
"Nagasaki","長崎県",1,1,0,0
"Kumamoto","熊本県",7,5,2,0
"Oita","大分県",17,16,1,0
"Miyazaki","宮崎県",3,2,1,0
"Kagoshima","鹿児島県",1,1,0,0
"Okinawa","沖縄県",4,2,2,0
