"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",12062,1886,9856,381,34,61,209646
"Aomori","青森県",390,39,345,6,2,0,8660
"Iwate","岩手県",330,113,201,16,2,0,12936
"Miyagi","宮城県",1707,372,1323,12,4,0,23482
"Akita","秋田県",95,4,90,1,0,0,3878
"Yamagata","山形県",302,108,192,2,2,0,9487
"Fukushima","福島県",697,142,545,10,5,0,49033
"Ibaraki","茨城県",2117,271,1812,34,11,0,18137
"Tochigi","栃木県",1002,257,745,3,11,3,65415
"Gunma","群馬県",1897,396,1471,30,6,0,46260
"Saitama","埼玉県",11514,2128,9209,177,39,0,280656
"Chiba","千葉県",8936,1197,7633,106,16,0,203597
"Tokyo","東京都",50890,6125,44199,566,62,0,901556
"Kanagawa","神奈川県",16613,1880,14498,235,51,0,311376
"Niigata","新潟県",435,66,369,3,0,3,25657
"Toyama","富山県",487,24,437,26,1,0,19756
"Ishikawa","石川県",954,74,833,50,0,3,26803
"Fukui","福井県",337,13,313,11,2,0,17465
"Yamanashi","山梨県",467,35,422,10,1,0,14278
"Nagano","長野県",1033,138,855,9,7,31,40462
"Gifu","岐阜県",1718,380,1315,23,4,0,56223
"Shizuoka","静岡県",2354,601,1725,28,11,0,74303
"Aichi","愛知県",13737,2224,11357,156,34,0,170726
"Mie","三重県",1131,146,970,15,4,0,26913
"Shiga","滋賀県",918,76,831,11,1,0,33083
"Kyoto","京都府",3559,609,2922,43,8,15,79776
"Osaka","大阪府",26787,3670,22628,473,158,16,410181
"Hyogo","兵庫県",7973,843,7000,130,42,0,121583
"Nara","奈良県",1628,232,1380,16,9,0,41712
"Wakayama","和歌山県",573,32,523,7,6,11,15681
"Tottori","鳥取県",68,7,60,0,1,1,21073
"Shimane","島根県",179,18,161,0,1,0,8556
"Okayama","岡山県",971,204,642,12,3,113,27231
"Hiroshima","広島県",2108,295,1149,13,10,651,56843
"Yamaguchi","山口県",458,53,399,2,5,4,24734
"Tokushima","徳島県",189,3,178,9,0,1,14249
"Kagawa","香川県",206,24,179,3,0,0,20498
"Ehime","愛媛県",374,47,317,10,3,0,10840
"Kochi","高知県",478,163,310,5,0,0,5222
"Fukuoka","福岡県",7135,908,6116,111,14,0,238294
"Saga","佐賀県",409,51,360,3,1,5,13199
"Nagasaki","長崎県",352,70,277,3,2,2,32305
"Kumamoto","熊本県",1382,166,1097,13,5,106,29520
"Oita","大分県",566,110,452,4,5,0,37141
"Miyazaki","宮崎県",658,85,573,4,2,4,11569
"Kagoshima","鹿児島県",868,157,711,13,1,13,33826
"Okinawa","沖縄県",4946,301,4573,77,7,5,83408
