"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",60608,208,58906,1469,1,25,1132693,"JP-01"
"Aomori","青森県",5870,146,5686,38,1,0,90961,"JP-02"
"Iwate","岩手県",3486,1,3432,53,0,0,123725,"JP-03"
"Miyagi","宮城県",16253,22,16113,118,1,0,243819,"JP-04"
"Akita","秋田県",1894,6,1861,27,0,0,26739,"JP-05"
"Yamagata","山形県",3532,19,3457,56,0,0,100029,"JP-06"
"Fukushima","福島県",9478,16,9287,175,2,0,417035,"JP-07"
"Ibaraki","茨城県",24356,91,24048,217,8,0,40366,"JP-08"
"Tochigi","栃木県",15418,63,15239,116,2,0,488751,"JP-09"
"Gunma","群馬県",16697,53,16469,175,3,0,301432,"JP-10"
"Saitama","埼玉県",115438,328,114085,1025,25,0,1479133,"JP-11"
"Chiba","千葉県",100186,262,98891,1016,13,17,1092105,"JP-12"
"Tokyo","東京都",377199,923,373187,3089,35,0,3718177,"JP-13"
"Kanagawa","神奈川県",168692,432,166965,1295,18,0,1624122,"JP-14"
"Niigata","新潟県",7971,33,7877,61,1,0,290630,"JP-15"
"Toyama","富山県",4850,29,4770,51,1,0,116672,"JP-16"
"Ishikawa","石川県",7934,33,7750,129,0,22,197499,"JP-17"
"Fukui","福井県",3099,22,3040,37,0,0,117923,"JP-18"
"Yamanashi","山梨県",5144,8,5108,29,0,1,116608,"JP-19"
"Nagano","長野県",8831,38,8752,96,0,55,322195,"JP-20"
"Gifu","岐阜県",19018,138,18874,217,3,211,416733,"JP-21"
"Shizuoka","静岡県",26714,33,26401,209,0,71,630210,"JP-22"
"Aichi","愛知県",106059,398,104509,1152,6,0,1330052,"JP-23"
"Mie","三重県",14744,83,14821,163,1,323,267510,"JP-24"
"Shiga","滋賀県",12351,42,12207,102,1,0,260315,"JP-25"
"Kyoto","京都府",35794,136,35362,290,6,6,428201,"JP-26"
"Osaka","大阪府",201755,1132,196030,3023,146,1570,3577698,"JP-27"
"Hyogo","兵庫県",78127,365,76370,1392,12,0,761078,"JP-28"
"Nara","奈良県",15820,99,15572,149,2,0,253223,"JP-29"
"Wakayama","和歌山県",5284,7,5111,62,1,104,65750,"JP-30"
"Tottori","鳥取県",1659,7,1622,5,0,25,149655,"JP-31"
"Shimane","島根県",1661,30,1626,5,0,0,55806,"JP-32"
"Okayama","岡山県",15222,66,15000,136,2,20,268198,"JP-33"
"Hiroshima","広島県",21934,149,21586,199,2,0,905700,"JP-34"
"Yamaguchi","山口県",5687,61,5534,92,0,0,189336,"JP-35"
"Tokushima","徳島県",3283,9,3209,65,0,0,105433,"JP-36"
"Kagawa","香川県",4696,7,4651,38,0,0,130942,"JP-37"
"Ehime","愛媛県",5313,81,5150,82,1,0,155526,"JP-38"
"Kochi","高知県",4135,19,4084,32,1,0,99174,"JP-39"
"Fukuoka","福岡県",74306,343,73330,619,12,14,1272447,"JP-40"
"Saga","佐賀県",5809,21,5808,30,0,50,105617,"JP-41"
"Nagasaki","長崎県",6076,48,5955,73,0,0,182312,"JP-42"
"Kumamoto","熊本県",14355,35,14184,136,2,0,123612,"JP-43"
"Oita","大分県",8180,25,8071,84,0,0,269224,"JP-44"
"Miyazaki","宮崎県",6150,12,6079,41,0,18,72948,"JP-45"
"Kagoshima","鹿児島県",9096,25,9072,65,0,66,169287,"JP-46"
"Okinawa","沖縄県",50043,245,49404,362,3,32,400252,"JP-47"
