date_report,time_report,total,positive,discharged,death,negative,unknown
2020-01-19,,0,0,0,0,0,0
2020-01-20,,7,1,0,0,4,3
2020-01-21,9:00,11,1,0,0,7,3
2020-01-22,,16,1,0,0,11,4
2020-01-23,,22,1,0,0,21,0
2020-01-24,,27,2,0,0,25,0
2020-01-25,,,3,0,0,,
2020-01-26,,51,3,0,0,47,1
2020-01-27,,61,4,0,0,56,1
2020-01-28,,116,4,0,0,97,15
2020-01-29,9:00,187,4,0,0,155,28
2020-01-30,9:00,244,7,0,0,199,38
2020-01-31,,,11,0,0,,
2020-02-01,9:00,371,12,0,0,289,70
2020-02-02,9:00,429,15,0,0,327,87
2020-02-03,9:00,490,15,0,0,414,61
2020-02-04,10:00,607,16,0,0,462,129
2020-02-05,9:00,714,18,1,0,522,174
2020-02-06,9:00,885,23,2,0,693,169
2020-02-07,9:00,1130,24,2,0,842,264
2020-02-07,16:00,1352,24,2,0,1001,327
2020-02-08,9:00,1701,24,2,0,1057,620
2020-02-08,16:00,2097,24,2,0,1134,939
2020-02-09,9:00,2340,25,3,0,1355,960
2020-02-09,16:00,2598,27,3,0,1683,888
2020-02-10,9:00,2776,27,3,0,1940,809
2020-02-10,16:00,3110,27,3,0,2552,531
2020-02-11,9:00,3629,28,4,0,2736,865
2020-02-11,16:00,4325,28,4,0,3535,762
2020-02-12,9:00,5074,28,4,0,4054,992
2020-02-12,16:00,5624,28,7,0,4811,785
2020-02-13,9:00,5797,28,7,0,5099,670
2020-02-13,16:00,6511,28,7,0,5921,562
2020-02-14,9:00,6854,28,7,0,6134,692
2020-02-14,16:00,7242,28,7,0,6679,535
2020-02-15,9:00,7519,28,9,0,6853,638
2020-02-15,16:00,7734,28,9,0,7148,558
2020-02-16,9:00,7919,29,9,0,7313,577
2020-02-16,16:00,8161,29,9,0,7647,485
2020-02-17,9:00,8171,30,9,0,7733,408
2020-02-17,16:00,8718,30,10,0,7980,708
2020-02-18,9:00,9265,31,10,0,8277,957
2020-02-18,16:00,9772,31,12,0,8923,818
2020-02-19,9:00,10411,46,12,0,9335,1030
2020-02-19,16:00,11173,51,16,0,9973,1149
2020-02-20,9:00,12161,82,16,0,10446,1633
2020-02-20,16:00,13202,104,16,1,11238,1860
2020-02-21,9:00,14816,156,16,1,11953,2707
2020-02-21,16:00,16400,204,17,1,13016,3180
2020-02-22,9:00,19621,346,17,2,13794,5481
2020-02-22,16:00,21586,433,18,2,15116,6037
2020-02-23,9:00,22633,556,18,4,16038,6039
2020-02-23,16:00,26179,602,18,5,17520,8057
2020-02-24,9:00,28615,763,18,7,19127,8725
2020-02-24,16:00,32756,833,22,7,20292,11631
2020-02-25,9:00,36716,893,22,8,22550,13273
2020-02-25,16:00,40304,977,22,10,25447,13880
2020-02-26,9:00,46127,1146,22,11,28247,16734
