date_report,time_report,suspected cases,positive,discharged,death,negative,unknown,KCDC_no (https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015),date_accessed (based on Korean time)
2020-01-19,,0,0,0,0,0,0,NA,NA
2020-01-20,,4,1,0,0,3,0,3606,2020-02-09
2020-01-21,,11,1,0,0,10,0,"3607, 3608",2020-02-09
2020-01-22,,16,1,0,0,11,4,3609,2020-02-09
2020-01-23,,22,1,0,0,21,0,3612,2020-02-09
2020-01-24,,27,2,0,0,25,0,3613,2020-02-09
2020-01-25,,,3,0,0,,,,
2020-01-26,,51,3,0,0,47,1,3616,2020-02-09
2020-01-27,,61,4,0,0,56,1,3617,2020-02-09
2020-01-28,,116,4,0,0,97,15,3619,2020-02-09
2020-01-29,9:00,187,4,0,0,155,28,3621,2020-02-09
2020-01-30,9:00,244,7,0,0,199,38,"3623, 3628",2020-02-09
2020-01-31,,,11,0,0,,,3630,2020-02-09
2020-02-01,9:00,371,12,0,0,289,70,3632,2020-02-09
2020-02-02,9:00,429,15,0,0,327,87,3636,2020-02-09
2020-02-03,9:00,490,15,0,0,414,61,3637,2020-02-09
2020-02-04,10:00,607,16,0,0,462,129,3640,2020-02-09
2020-02-05,9:00,714,18,1,0,522,174,3644,2020-02-09
2020-02-06,9:00,885,23,2,0,693,169,3650,2020-02-09
2020-02-07,9:00,1130,24,2,0,842,264,3652,2020-03-04
2020-02-07,16:00,1352,24,2,0,1001,327,"3651, 3653",2020-02-09
2020-02-08,9:00,1701,24,2,0,1057,620,3656,2020-03-04
2020-02-08,16:00,2097,24,2,0,1134,939,"3656, 3658",2020-02-09
2020-02-09,9:00,2340,25,3,0,1355,960,3661,2020-03-04
2020-02-09,16:00,2598,27,3,0,1683,888,"3659, 3661, 3662",2020-02-09
2020-02-10,9:00,2776,27,3,0,1940,809,3664,2020-03-04
2020-02-10,16:00,3110,27,3,0,2552,531,"3664, 3665",2020-02-10
2020-02-11,9:00,3629,28,4,0,2736,865,3667,2020-03-04
2020-02-11,16:00,4325,28,4,0,3535,762,"3667, 3668, 3669",2020-02-11
2020-02-12,9:00,5074,28,4,0,4054,992,3670,2020-03-04
2020-02-12,16:00,5624,28,7,0,4811,785,"3670, 3672",2020-02-12
2020-02-13,9:00,5797,28,7,0,5099,670,3674,2020-03-04
2020-02-13,16:00,6511,28,7,0,5921,562,"3673, 3674, 3675",2020-02-14
2020-02-14,9:00,6854,28,7,0,6134,692,3677,2020-03-04
2020-02-14,16:00,7242,28,7,0,6679,535,3678,2020-02-15
2020-02-15,9:00,7519,28,9,0,6853,638,3680,2020-03-04
2020-02-15,16:00,7734,28,9,0,7148,558,"3679, 3780, 3681",2020-02-16
2020-02-16,9:00,7919,29,9,0,7313,577,3683,2020-03-04
2020-02-16,16:00,8161,29,9,0,7647,485,"3682, 3683, 3684",2020-02-20
2020-02-17,9:00,8171,30,9,0,7733,408,3687,2020-03-04
2020-02-17,16:00,8718,30,10,0,7980,708,"3685, 3688",2020-02-17
2020-02-18,9:00,9265,31,10,0,8277,957,3690,2020-03-04
2020-02-18,16:00,9772,31,12,0,8923,818,"3689, 3691",2020-02-20
2020-02-19,9:00,10411,46,12,0,9335,1030,3695,2020-03-04
2020-02-19,16:00,11173,51,16,0,9973,1149,"3694, 3696",2020-02-20
2020-02-20,9:00,12161,82,16,0,10446,1633,3698,2020-03-04
2020-02-20,16:00,13202,104,16,1,11238,1860,"3697, 3699",2020-02-20
2020-02-21,9:00,14816,156,16,1,11953,2707,3701,2020-03-04
2020-02-21,16:00,16400,204,17,1,13016,3180,3702,2020-02-21
2020-02-22,9:00,19621,346,17,2,13794,5481,3703,2020-03-04
2020-02-22,16:00,21586,433,18,2,15116,6037,3705,2020-02-23
2020-02-23,9:00,22633,556,18,4,16038,6039,3707,2020-03-04
2020-02-23,16:00,26179,602,18,5,17520,8057,3708,2020-02-24
2020-02-24,9:00,28615,763,18,7,19127,8725,3710,2020-03-04
2020-02-24,16:00,32756,833,22,7,20292,11631,3771,2020-02-25
2020-02-25,9:00,36716,893,22,8,22550,13273,3713,2020-03-04
2020-02-25,16:00,40304,977,22,10,25447,13880,3714,2020-02-26
2020-02-26,9:00,46127,1146,22,11,28247,16734,3716,2020-03-04
2020-02-26,16:00,53553,1261,24,12,31576,20716,3718,2020-02-27
2020-02-27,9:00,57990,1595,24,12,35298,21097,3722,2020-03-04
2020-02-27,16:00,66652,1766,26,13,39318,25568,3723,2020-02-28
2020-02-28,9:00,70940,2022,26,13,44167,24751,3727,2020-03-04
2020-02-28,16:00,81167,2337,27,13,48593,30237,3728,2020-02-29
2020-02-29,9:00,85693,2931,27,16,53608,29154,3729,2020-03-04
2020-02-29,16:00,94055,3150,28,17,55723,35182,3731,2020-03-01
2020-03-01,9:00,96985,3526,28,17,61037,32422,3732,2020-03-04
2020-03-01,16:00,98921,3736,30,18,61825,33360,3734,2020-03-01
2020-03-02,0:00,109591,4212,31,22,71580,33799,3736,2020-03-03
2020-03-03,0:00,125851,4812,34,28,85484,35555,3738,2020-03-04
2020-03-04,0:00,136707,5328,41,32,102965,28414,3740,2020-03-04
2020-03-05,0:00,146541,5766,88,35,118965,21810,3742,2020-03-06
2020-03-06,0:00,164740,6284,108,42,136624,21832,3745,2020-03-07
2020-03-07,0:00,178189,6767,118,44,151802,19620,3748,2020-03-07
2020-03-08,0:00,188518,7134,130,50,162008,19376,3750,2020-03-11
2020-03-09,0:00,196618,7382,166,51,171778,17458,3752,2020-03-11
2020-03-10,0:00,210144,7513,247,54,184179,18452,3755,2020-03-11
2020-03-11,0:00,222395,7755,288,60,196100,18540,3761,2020-03-12
2020-03-12,0:00,"234,998",7869,333,66,209402,17727,3763,2020-03-14
