date_report,time_report,Daegu,Gyeongsangbuk-do,Gyeongsangnam-do,Gangwon-do,Gyeonggi-do,Seoul,Gwangju,Daejeon,Busan,Ulsan,Jeollanam-do,Jeollabuk-do,Chungcheongbuk-do,Chungcheongnam-do,Sejong City,Incheon,Jeju-do,total
2020-02-18,9,1,,,,,,,,,,,,,,,,,1
2020-02-19,9,10,3,,,1,1,,,,,,,,,,,,15
2020-02-19,16,5,,,,,,,,,,,,,,,,,5
2020-02-20,9,23,7,,,,1,,,,,,,,,,,,31
2020-02-20,16,7,14,,,,1,,,,,,,,,,,,22
2020-02-21,9,38,3,2,,1,3,1,,,,,1,1,1,,,1,52
2020-02-21,16,42,,2,,1,2,1,,,,,,,,,,,48
2020-02-22,9,28,103,,,2,,1,1,2,,,1,2,,1,,1,142
2020-02-22,16,55,14,,5,4,3,2,1,1,1,1,,,,,,,87
2020-02-23,9,93,20,4,,2,,1,,2,,,,,,,,1,123
2020-02-23,16,24,5,6,,2,1,1,1,6,,,,,,,,,46
2020-02-24,9,131,11,3,,10,3,1,,2,,,,,,,,,161
2020-02-24,16,42,12,,,1,1,,,13,1,,,,,,,,70
2020-02-25,9,16,33,1,,5,2,,,3,,,,,,,,,60
2020-02-25,16,44,23,2,,2,4,,,5,1,,,2,1,,,,84
2020-02-26,9,134,19,2,,1,4,,,8,,,,,,,1,,169
2020-02-26,16,33,49,9,,8,4,,2,8,1,,,,1,,,,115
2020-02-27,9,307,4,2,,4,6,,3,,2,,,2,4,,,,334
2020-02-27,16,115,24,7,,7,1,,1,3,5,,2,1,5,,,,171
2020-02-28,9,182,49,3,,4,6,,4,2,,,,1,4,,1,,256
2020-02-28,16,265,15,3,1,6,,,1,2,3,,,,19,,,,315
2020-02-29,9,476,60,10,,4,12,,,12,3,1,,1,13,,2,,594
2020-02-29,16,181,19,,,6,3,,-1,3,,1,,,7,,,,219
2020-03-01,9,333,26,3,,2,5,,,1,,,,1,5,,,,376
2020-03-01,16,136,41,1,8,5,5,,,2,3,,1,,8,,,,210
2020-03-02,0,377,68,1,4,3,4,,1,5,,2,,,10,,1,,476
2020-03-03,0,520,61,,1,2,7,2,,2,,1,,,3,,,1,600
2020-03-04,0,405,89,1,1,7,1,2,1,3,3,,,,1,,2,,516
2020-03-05,0,321,87,9,2,9,4,1,1,-1,,-1,,1,4,,,1,438
2020-03-06,0,367,123,3,2,10,2,-1,2,3,,,,3,4,,,,518
2020-03-07,0,390,65,5,1,10,3,,,1,,,,5,2,1,,,483
2020-03-08,0,297,32,1,1,11,12,,,1,1,,,4,6,1,,,367
2020-03-09,0,190,26,,1,11,10,2,1,-1,,,,1,4,3,,,248
2020-03-10,0,92,10,,,11,11,,-1,,,,,,2,2,4,,131
2020-03-11,0,131,18,1,1,12,52,,,2,1,,,2,8,2,12,,242
2020-03-12,0,73,8,1,,3,19,,2,1,,,,,2,5,,,114
2020-03-13,0,61,4,,,7,13,,2,1,2,,,,1,17,2,,110
2020-03-14,0,62,6,,,15,13,,,3,,,,1,,6,1,,107
