date_report,time_report,Daegu,Gyeongsangbuk-do,Gyeongsangnam-do,Gangwon-do,Gyeonggi-do,Seoul,Gwangju,Daejeon,Busan,Ulsan,Jeollanam-do,Jeollabuk-do,Chungcheongbuk-do,Chungcheongnam-do,Sejong City,Incheon,Jeju-do,total
2020-01-20,,,,,,,,,,,,,,,,,1,,1
2020-01-21,,,,,,,,,,,,,,,,,,,0
2020-01-22,,,,,,,,,,,,,,,,,,,0
2020-01-23,,,,,,,,,,,,,,,,,,,0
2020-01-24,,,,,,,1,,,,,,,,,,,,1
2020-01-25,,,,,,,,,,,,,,,,,,,0
2020-01-26,,,,,,1,,,,,,,,,,,,,1
2020-01-27,,,,,,1,,,,,,,,,,,,,1
2020-01-28,,,,,,,,,,,,,,,,,,,0
2020-01-29,,,,,,,,,,,,,,,,,,,0
2020-01-30,,,,,,,3,,,,,,,,,,,,3
2020-01-31,,,,,,,3,,,,,,1,,,,,,4
2020-02-01,,,,,,1,,,,,,,,,,,,,1
2020-02-02,,,,,,2,1,,,,,,,,,,,,3
2020-02-03,,,,,,,,,,,,,,,,,,,0
2020-02-04,,,,,,,,1,,,,,,,,,,,1
2020-02-05,,,,,,2,2,1,,,,,,,,,,,5
2020-02-06,,,,,,,2,1,,,,,,,,,,,3
2020-02-07,,,,,,,,,,,,,,,,,,,0
2020-02-08,,,,,,,,,,,,,,,,,,,0
2020-02-09,,,,,,3,,,,,,,,,,,,,3
2020-02-10,,,,,,,,,,,,,,,,,,,0
2020-02-11,,,,,,1,,,,,,,,,,,,,1
2020-02-12,,,,,,,,,,,,,,,,,,,0
2020-02-13,,,,,,,,,,,,,,,,,,,0
2020-02-14,,,,,,,,,,,,,,,,,,,0
2020-02-15,,,,,,,,,,,,,,,,,,,0
2020-02-16,,,,,,,2,,,,,,,,,,,,2
2020-02-17,,,,,,,,,,,,,,,,,,,0
