Skupaj,356,2426,7120
Ajdovščina,1,15,36
Ankaran,0,1,4
Apače,1,3,4
Beltinci,2,16,21
Benedikt,0,0,5
Bistrica ob Sotli,0,2,6
Bled,2,8,16
Bloke,0,1,5
Bohinj,1,10,11
Borovnica,1,6,13
Bovec,0,2,4
Braslovče,0,6,43
Brda,0,2,2
Brezovica,1,20,47
Brežice,0,7,22
Cankova,0,2,4
Celje,2,58,163
Cerklje na Gorenjskem,2,11,14
Cerknica,0,2,27
Cerkno,1,2,5
Cerkvenjak,0,0,5
Cirkulane,0,2,5
Črenšovci,0,6,17
Črna na Koroškem,0,48,62
Črnomelj,0,1,24
Destrnik,1,2,6
Divača,0,9,15
Dobje,0,0,1
Dobrepolje,0,2,5
Dobrna,0,0,6
Dobrova - Polhov Gradec,4,8,20
Dobrovnik/Dobronak,0,2,4
Dol pri Ljubljani,0,7,11
Dolenjske Toplice,1,3,9
Domžale,8,55,126
Dornava,0,4,8
Dravograd,2,10,61
Duplek,0,8,16
Gorenja vas - Poljane,1,9,14
Gorišnica,1,10,11
Gorje,0,4,12
Gornja Radgona,0,3,17
Gornji Petrovci,0,0,1
Grad,0,1,3
Grosuplje,8,35,64
Hajdina,1,12,19
Hoče - Slivnica,4,29,41
Horjul,0,1,32
Hrastnik,1,16,110
Hrpelje - Kozina,0,4,10
Idrija,0,5,17
Ig,4,15,41
Ilirska Bistrica,6,14,67
Ivančna Gorica,2,12,27
Izola/Isola,2,6,15
Jesenice,8,46,80
Kamnik,9,42,114
Kanal,0,0,2
Kidričevo,0,2,8
Kobarid,0,0,1
Kobilje,0,0,3
Kočevje,0,7,25
Komen,0,7,8
Komenda,0,9,19
Koper/Capodistria,3,8,59
Kostanjevica na Krki,1,3,6
Kostel,0,1,1
Kozje,0,1,5
Kranj,15,82,201
Kranjska Gora,1,5,12
Križevci,0,1,5
Krško,6,21,46
Kungota,2,7,15
Kuzma,0,0,3
Laško,1,11,21
Lenart,0,8,28
Lendava/Lendva,1,15,48
Litija,4,28,69
Ljubljana,60,410,1305
Ljubno,1,2,10
Ljutomer,1,10,149
Log - Dragomer,0,12,33
Logatec,1,8,21
Loška dolina,3,3,8
Lovrenc na Pohorju,0,4,18
Luče,1,1,1
Lukovica,1,13,28
Majšperk,2,6,11
Makole,2,6,7
Maribor,13,108,343
Markovci,0,14,17
Medvode,3,14,47
Mengeš,2,7,22
Metlika,1,2,86
Mežica,1,24,27
Miklavž na Dravskem polju,1,5,17
Miren - Kostanjevica,0,0,3
Mirna,0,0,4
Mirna Peč,0,1,7
Mislinja,0,1,5
Mokronog - Trebelno,0,1,5
Moravče,3,9,15
Moravske Toplice,0,6,9
Mozirje,0,6,17
Murska Sobota,4,29,60
Muta,0,0,7
Naklo,2,10,22
Nazarje,1,5,7
Nova Gorica,1,11,43
Novo mesto,11,30,87
Odranci,0,0,5
Oplotnica,1,10,18
Ormož,1,4,17
Pesnica,0,3,16
Piran/Pirano,1,6,28
Pivka,1,7,64
Podčetrtek,0,3,9
Podlehnik,1,3,4
Podvelka,0,2,6
Poljčane,0,5,12
Polzela,0,2,12
Postojna,4,9,53
Prebold,2,11,22
Preddvor,0,5,14
Prevalje,2,29,41
Ptuj,5,23,42
Puconci,0,1,17
Rače - Fram,1,6,17
Radeče,0,0,3
Radenci,0,1,6
Radlje ob Dravi,0,4,6
Radovljica,7,24,50
Ravne na Koroškem,1,26,58
Razkrižje,0,1,2
Rečica ob Savinji,1,8,14
Renče - Vogrsko,0,0,4
Ribnica,0,2,27
Ribnica na  Pohorju,0,0,3
Rogaška Slatina,2,18,117
Rogašovci,0,4,4
Rogatec,0,3,25
Ruše,0,6,19
Selnica ob Dravi,1,9,15
Semič,0,0,12
Sevnica,2,14,46
Sežana,0,5,17
Slovenj Gradec,4,22,70
Slovenska Bistrica,4,33,96
Slovenske Konjice,6,33,68
Sodražica,0,1,9
Središče ob Dravi,0,1,1
Starše,1,6,20
Straža,1,2,3
Sveta Ana,0,0,14
Sveta Trojica v Slov. goricah,0,4,5
Sveti Andraž v Slov. goricah,0,1,1
Sveti Jurij ob Ščavnici,1,4,7
Sveti Tomaž,0,2,3
Šalovci,0,0,1
Šempeter - Vrtojba,1,1,5
Šenčur,2,11,34
Šentilj,0,1,19
Šentjernej,8,29,34
Šentjur,2,29,94
Šentrupert,1,1,10
Škocjan,2,2,5
Škofja Loka,4,46,77
Škofljica,3,25,57
Šmarje pri Jelšah,3,13,205
Šmarješke Toplice,1,3,11
Šmartno ob Paki,1,2,6
Šmartno pri Litiji,1,13,20
Šoštanj,1,11,22
Štore,0,0,8
Tabor,0,1,14
Tišina,0,3,14
Tolmin,3,21,29
Trbovlje,6,28,58
Trebnje,3,11,43
Trnovska vas,0,0,2
Trzin,1,10,15
Tržič,0,16,48
TUJINA,3,17,84
Turnišče,1,3,13
Velenje,10,26,90
Velika Polana,0,0,4
Velike Lašče,0,1,34
Veržej,0,0,7
Videm,2,6,13
Vipava,1,4,29
Vitanje,0,9,14
Vodice,0,13,26
Vojnik,3,8,28
Vransko,1,6,9
Vrhnika,1,20,36
Vuzenica,0,4,13
Zagorje ob Savi,6,27,45
Zavrč,0,0,2
Zreče,3,29,47
Žalec,2,13,53
Železniki,2,9,12
Žetale,0,0,3
Žiri,0,2,5
Žirovnica,1,6,17
Žužemberk,1,4,9
